category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
5092902;"Патч панель 24 порта UTP стоечная 19″, кат. 5Е";Кількість портів;;24;Тип патч-панелі;;Мережева RJ-45;Екранування;;UTP;Категорія;;кат. 5e;Конструкція;;19″;"Висота, U";;1;Тип конектора;;RJ-45;Особливості;;Маркування портів;Сумісність;;шафи та стійки 19″;Комплектація;;Патч-панель (WT-2089A-CAT.5E)<br>Монтажна комплектація;Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч панель 1U 24 порта кат. 5Е 19″ с менеджментом кабеля сзади, UTP";Кількість портів;;24;Тип патч-панелі;;Мережева RJ-45;Екранування;;UTP;Категорія;;кат. 5e;Конструкція;;19″;"Висота, U";;1;Тип конектора;;RJ-45;Особливості;;Маркування портів;Комплектація;;Патч-панель (WT-2126-CAT.5E)<br>Монтажна комплектація;Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;Патч панель 48 портов UTP 1U кат.5е с держателем кабеля 19″;Кількість портів;;48;Тип патч-панелі;;Мережева RJ-45;Екранування;;UTP;Категорія;;кат. 5e;Конструкція;;19″;"Висота, U";;1;Особливості;;З організатором кабелю;Тип конектора;;RJ-45;Сумісність;;шафи та стійки 19″;Комплектація;;Патч-панель (WT-2264-CAT.5E)<br>Монтажна комплектація<br>Організатор кабелю;Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч-панель 19″ 24xRJ-45 FTP, кат. 5e, EServer";Кількість портів;;24;Тип патч-панелі;;Мережева RJ-45;Екранування;;FTP;Категорія;;кат. 5e;Конструкція;;19″;"Висота, U";;1;Тип конектора;;RJ-45;Особливості;;Маркування;Комплектація;;"Патч-панель WT-2084-CAT.5E, інструкція";Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч панель UTP CAT5e, 24 порта 1U 19″ с организатором кабеля Toolless Type, Eserver";Кількість портів;;24;Тип патч-панелі;;Мережева RJ-45;Екранування;;UTP;Категорія;;кат. 5e;Конструкція;;19″;"Висота, U";;1;Особливості;;"Tooless type, З організатором кабелю";Тип конектора;;RJ-45;Комплектація;;"Патч-панель WT-2512-CAT.5E, організатор кабелю, інструкція";Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;Патч панель 12 портов настенная UTP кат. 5Е;Кількість портів;;12;Тип патч-панелі;;Мережева RJ-45;Екранування;;UTP;Категорія;;кат. 5e;Конструкція;;10″;"Висота, U";;1;Тип конектора;;RJ-45;Матеріал корпуса;;Пластик;Комплектація;;Патч-панель WT-2180-Dual;Інше;;"Порти: PBT UL 94V-0, контакти: бронза діаметром 0,45 мм із золотим напиленням 50 мкм IDC контакти: PC UL94V-0";Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч панель модульная UTP 24 порта 1U 19″, без модулей";Кількість портів;;24;Тип патч-панелі;;Модульна;Екранування;;UTP;Конструкція;;19″;"Висота, U";;1;Тип конектора;;Під Keystone;Особливості;;Маркування портів;Матеріал корпуса;;Метал;Комплектація;;Патч-панель (WT-2040A);Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч-панель модульная 24 1U 19″ STP c менеджментом кабеля,  HD";Кількість портів;;24;Тип патч-панелі;;Модульна;Екранування;;STP;Конструкція;;19″;"Висота, U";;1;Особливості;;З організатором кабелю;Тип конектора;;Під Keystone;Матеріал корпуса;;Метал;Комплектація;;"Патч-панель (WT-2224A), організатор кабелю";Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч-панель 19″ Kingda KDPA6043 24хRJ-45 UTP кат.5e, type 110";Кількість портів;;24;Тип патч-панелі;;Мережева RJ-45;Екранування;;UTP;Категорія;;кат. 5e;Конструкція;;19″;"Висота, U";;1;Особливості;;З організатором кабелю;Тип конектора;;RJ-45;Сумісність;;шафи та стійки 19″;Матеріал корпуса;;Сталь;Комплектація;;Патч-панель Kingda (KDPA6043)<br>Монтажна комплектація<br>Організатор кабелю;Вага;;650;Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092902;"Патч-панель 24 порта 19″ 1U STP Cat6, EServer";Кількість портів;;24;Тип патч-панелі;;Мережева RJ-45;Екранування;;FTP;Категорія;;кат. 6;Конструкція;;19″;"Висота, U";;1;Тип конектора;;RJ-45;Особливості;;Маркування;Сумісність;;призначена для встановлення в серверну шафу або монтажну стійку 19″;Комплектація;;"Патч-панель WT-2084-CAT 6, інструкція";Колір;;Чорний;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
