supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
(?i).*\bантивандал.*;;;regex;Тип корпусу;;Антивандальний ящик;1;TRUE;70306;name;
(?i).*\bсерверн.*\bстойк.*;;;regex;Тип корпусу;;Стійка серверна;2;TRUE;70306;name;
(?i).*\bстойк.*;;;regex;Тип корпусу;;Стійка монтажна;3;TRUE;70306;name;
(?i).*\b\d+U.*\b(стекло|акрил).*;;;regex;Тип корпусу;;Шафа серверна;4;TRUE;70306;name;
(?i).*\bклимат.*;;;regex;Тип корпусу;;Шафа серверна;5;TRUE;70306;name;
(?i).*(коммуникац|телекоммуникац|коммутац).*;;;regex;Тип корпусу;;Шафа телекомунікаційна;6;TRUE;70306;name;
(?i).*\bсерверн.*\bшкаф.*;;;regex;Тип корпусу;;Шафа серверна;7;TRUE;70306;name;
(?i).*\bшкаф.*\bсерверн.*;;;regex;Тип корпусу;;Шафа серверна;8;TRUE;70306;name;
(?i).*(ABS|IP65|IP54|IP31|МП|ЩМП).*;;;regex;Тип корпусу;;Бокс електромонтажний;9;TRUE;70306;name;
(?i).*\b(корпус|щит|бокс|гермокоробк).*;;;regex;Тип корпусу;;Бокс електромонтажний;10;TRUE;70306;name;
(?i).*\bкронштейн.*;;;regex;Тип корпусу;;Кронштейн;11;TRUE;70306;name;
(?i).*\bкрышка.*;;;regex;Тип корпусу;;Кронштейн;12;TRUE;70306;name;
(?i).*\bрама.*;;;regex;Тип корпусу;;Поворотна рама;13;TRUE;70306;name;
(?i).*\bшкаф.*;;;regex;Тип корпусу;;Шафа серверна;14;TRUE;70306;name;
(?i).*\bнастен.*;;;regex;Варіант установки;;Настінний;15;TRUE;70306;name;
(?i).*\bнапольн.*;;;regex;Варіант установки;;Підлоговий;16;TRUE;70306;name;
(?i).*\b19".*;;;regex;Робоча ширина (");;19";17;TRUE;70306;name;
(?i).*\b10".*;;;regex;Робоча ширина (");;10";18;TRUE;70306;name;
(?i).*\bшкаф.*\bчерный.*;;;regex;Колір шафи;;Чорний;19;TRUE;70306;name;
(?i).*\bшкаф.*\bсерый.*;;;regex;Колір шафи;;Сірий;20;TRUE;70306;name;
;Спосіб монтажу;(?i).*навісний.*;regex;Тип монтажу;;Навісний;21;TRUE;70306;attribute;
;Вес;([0-9\.]+)\s*г;regex;Вага;г;$1 г;22;TRUE;70306;extract;
;Вес;([0-9\.]+)\s*кг;regex;Вага;г;$1 кг;23;TRUE;70306;extract;
;Тип стійки;.*[Оо]днорамна.*;regex;Тип стійки;;Однорамна;24;TRUE;70306;attribute;
;Тип стійки;.*[Дд]ворамна.*;regex;Тип стійки;;Дворамна;25;TRUE;70306;attribute;
;Тип стійки;.*[Сс]ерверна.*;regex;Тип стійки;;Серверна;26;TRUE;70306;attribute;
;Максимальне навантаженя;"(\d+(?:[.,]\d+)?)\s*кг";regex;Максимально допустима статичне навантаження;кг;$1 ;27;TRUE;70306;extract;
;Максимальная нагрузка;"(\d+(?:[.,]\d+)?)\s*кг";regex;Максимально допустима статичне навантаження;кг;$1 ;28;TRUE;70306;extract;
;Степень защиты;IP\s*(\d{2});regex;Ступінь захисту IP;;$1 ;29;TRUE;70306;extract;
;Класс защиты;IP\s*(\d{2});regex;Ступінь захисту IP;;$1 ;30;TRUE;70306;extract;
;Захист;IP\s*(\d{2});regex;Ступінь захисту IP;;$1 ;31;TRUE;70306;extract;
;Конструкція;.*[Зз]бірно-розбірна.*;regex;Конструкція;;Збірно-розбірна;32;TRUE;70306;attribute;
;Конструкція;.*[Сс]уцільнозварна.*;regex;Конструкція;;Суцільнозварна;33;TRUE;70306;attribute;
;Бічні стінки;.*[Зз]німні.*;regex;Бічні стінки;;Знімні;34;TRUE;70306;attribute;
;Боковые стенки;.*[Зз]німні.*;regex;Бічні стінки;;Знімні;35;TRUE;70306;attribute;
;Боковые стенки;.*[Зз]німні.*;regex;Бічні стінки;;Знімні;36;TRUE;70306;attribute;
;Бічні стінки;.*замк.*;regex;Бічні стінки;;З замком;37;TRUE;70306;attribute;
;Боковые стенки;.*замк.*;regex;Бічні стінки;;З замком;38;TRUE;70306;attribute;
;Двери;.*[Зз]агартоване.*скло.*;regex;Передні двері;;Засклена;39;TRUE;70306;attribute;
;Двери;.*акрил.*;regex;Передні двері;;Засклена;40;TRUE;70306;attribute;
;Двери;.*[Пп]ерфор.*;regex;Передні двері;;Перфорована;41;TRUE;70306;attribute;
;Двери;.*[Сс]уцільнометал.*;regex;Передні двері;;Суцільнометалева;42;TRUE;70306;attribute;
;Двери;.*замк.*;regex;Передні двері;;З замком;43;TRUE;70306;attribute;
;Опоры;.*[Рр]егульов.*;regex;Регульовані опори;;Так;44;TRUE;70306;attribute;
;Опори;.*ніжки.*;regex;Регульовані опори;;Так;45;TRUE;70306;attribute;
;Розміри (ВxШxГ);"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Висота без опор;мм;$1 ;46;TRUE;70306;extract;
;Розміри (ВxШxГ);"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Ширина;мм;$2 ;47;TRUE;70306;extract;
;Розміри (ВxШxГ);"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Глибина;мм;$3 ;48;TRUE;70306;extract;
;Розміри;"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Висота без опор;мм;$1 ;49;TRUE;70306;extract;
;Розміри;"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Ширина;мм;$2 ;50;TRUE;70306;extract;
;Розміри;"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Глибина;мм;$3 ;51;TRUE;70306;extract;
;Размер;"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Висота без опор;мм;$1 ;52;TRUE;70306;extract;
;Размер;"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Ширина;мм;$2 ;53;TRUE;70306;extract;
;Размер;"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Глибина;мм;$3 ;54;TRUE;70306;extract;
;Розмір упаковки (Ш х В х Г);"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Ширина;мм;$1 ;55;TRUE;70306;extract;
;Розмір упаковки (Ш х В х Г);"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Висота без опор;мм;$2 ;56;TRUE;70306;extract;
;Розмір упаковки (Ш х В х Г);"(?i)(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*[xх×X]\s*(\d+(?:[.,]\d+)?)\s*(?:мм|mm)?";regex;Глибина;мм;$3 ;57;TRUE;70306;extract;
;"Ширина, мм";"(?i)(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$1 ;58;TRUE;70306;extract;
;"Глибина, мм";"(?i)(\d+(?:[.,]\d+)?)";regex;Глибина;мм;$1 ;59;TRUE;70306;extract;
;"Висота, мм";"(?i)(\d+(?:[.,]\d+)?)";regex;Висота без опор;мм;$1 ;60;TRUE;70306;extract;
;Ширина;"(?i)(\d+(?:[.,]\d+)?)\s*мм";regex;Ширина;мм;$1 ;61;TRUE;70306;extract;
;Глубина;"(?i)(\d+(?:[.,]\d+)?)\s*мм";regex;Глибина;мм;$1 ;62;TRUE;70306;extract;
;"Висота, U";(\d+);regex;Робоча висота (U);;$1U;63;TRUE;70306;extract;
;Конструкція;(?i)\b19\s*[″"];regex;Робоча ширина (");;19";64;TRUE;70306;attribute;
;Конструкция;(?i)\b10\s*[″"];regex;Робоча ширина (");;10";65;TRUE;70306;attribute;
(?i).*\b19\s*[″"].*;;;regex;Форм-фактор;;19";1;TRUE;5092902;name;
(?i).*\b10\s*[″"].*;;;regex;Форм-фактор;;10";2;TRUE;5092902;name;
(?i).*\bUTP\b.*;;;regex;Тип;;UTP;3;TRUE;5092902;name;
(?i).*\bFTP\b.*;;;regex;Тип;;FTP;4;TRUE;5092902;name;
(?i).*\bSTP\b.*;;;regex;Тип;;STP;5;TRUE;5092902;name;
(?i).*\b(\d+)\s*порт.*;;;regex;Кількість портів;шт.;$1 ;6;TRUE;5092902;name;
(?i).*кат\.\s*6[aа].*;;;regex;Категорія;;6a;7;TRUE;5092902;name;
(?i).*кат\.\s*5[eе].*;;;regex;Категорія;;5e;8;TRUE;5092902;name;
(?i).*кат\.\s*6.*;;;regex;Категорія;;6;9;TRUE;5092902;name;
;Кількість портів;(\d+);regex;Кількість портів;шт.;$1 ;10;TRUE;5092902;extract;
;Категорія;(?i).*кат\.\s*6[aа].*;regex;Категорія;;6a;11;TRUE;5092902;attribute;
;Категорія;(?i).*кат\.\s*5[eе].*;regex;Категорія;;5e;12;TRUE;5092902;attribute;
;Категорія;(?i).*кат\.\s*6.*;regex;Категорія;;6;13;TRUE;5092902;attribute;
;Категорія;(?i).*кат\.\s*5.*;regex;Категорія;;5;14;TRUE;5092902;attribute;
;Конструкція;(?i).*19\s*[″"].*;regex;Форм-фактор;;19";15;TRUE;5092902;attribute;
