№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
1;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;120201;https://prom.ua/ua/Avtomobilnye-akkumulyatory;L;;Вага;кг;;;12270;Автотовари > Автомобільні акумулятори;Тип устройства;;Автомобільні акумулятори
2;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;120201;https://prom.ua/ua/Avtomobilnye-akkumulyatory;"L, Lprom, noindex";;Вага;кг;;;12270;Автотовари > Автомобільні акумулятори;Тип устройства;;Автомобільні акумулятори
3;;site;;1;"1,15";154639050;Аккумуляторы LogicPower;52810;https://prom.ua/ua/Batarejnye-akkumulyatornye-otseki;L;;Вага;кг;;;12916;Альтернативна енергетика > Аксесуари;Тип устройства;;Акумуляторні корпуси
4;;prom;prom_;1;1.18;140905382;Безопасность и комфорт;52810;https://prom.ua/ua/Batarejnye-akkumulyatornye-otseki;"L, Lprom, noindex";;Вага;кг;;;12916;Альтернативна енергетика > Аксесуари;Тип устройства;;Акумуляторні корпуси
5;;site;;1;"1,15";154639059;Солнечная энергетика LogicPower;101003;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;L;;Вага;г;;;12911;Альтернативна енергетика > Системи кріплень для сонячних батарей;Тип устройства;;Кріплення для сонячних панелей
6;;prom;prom_;1;1.19;140905382;Безопасность и комфорт;101003;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;"L, Lprom, noindex";;Вага;г;;;12911;Альтернативна енергетика > Системи кріплень для сонячних батарей;Тип устройства;;Кріплення для сонячних панелей
7;;site;;1;"1,15";154639059;Солнечная энергетика LogicPower;5140401;https://prom.ua/ua/Invertory;L;;Вага;кг;;;11257;Альтернативна енергетика > Сонячні інвертори;Тип устройства;;Інвертори
8;;prom;prom_;1;1.16;140905382;Безопасность и комфорт;5140401;https://prom.ua/ua/Invertory;"L, Lprom, noindex";;Вага;кг;;;11257;Альтернативна енергетика > Сонячні інвертори;Тип устройства;;Інвертори
9;;site;;1;"1,15";22818554;Оборудование для системы Умный дом;6371101;https://prom.ua/ua/Portativnaya-akustika;L;;Вага;г;;;13598;Електроніка та аксесуари > Аксесуари для гаджетів;Тип устройства;;Портативні колонки
10;;prom;prom_;1;1.21;140905382;Безопасность и комфорт;6371101;https://prom.ua/ua/Portativnaya-akustika;"L, Lprom, noindex";;Вага;г;;;13598;Електроніка та аксесуари > Аксесуари для гаджетів;Тип устройства;;Портативні колонки
