№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
1;120201;https://prom.ua/ua/Avtomobilnye-akkumulyatory;Автомобільні акумулятори;"автомобильный аккумулятор, аккумулятор для авто, акб автомобильный, стартерный аккумулятор, аккумулятор 12в автомобильный, батарея для автомобиля, аккумуляторная батарея авто, авто аккумулятор agm, гелевый автомобильный аккумулятор, аккумулятор для машины";"автомобільний акумулятор, акумулятор для авто, акб автомобільний, стартерний акумулятор, акумулятор 12в автомобільний, батарея для автомобіля, акумуляторна батарея авто, авто акумулятор agm, гелевий автомобільний акумулятор, акумулятор для машини";автомобильный аккумулятор;автомобільний акумулятор;"Виробник, Тип устройства, Тип акумулятора, Ємність акумулятору, Напруга"
2;52810;https://prom.ua/ua/Batarejnye-akkumulyatornye-otseki;Акумуляторні корпуси;"корпус для аккумулятора, аккумуляторный корпус, бокс для аккумулятора, battery case, корпус для акб, контейнер для аккумулятора, держатель аккумулятора, корпус для батареи, защитный корпус аккумулятора, кейс для аккумулятора";"корпус для акумулятора, акумуляторний корпус, бокс для акумулятора, battery case, корпус для акб, контейнер для акумулятора, тримач акумулятора, корпус для батареї, захисний корпус акумулятора, кейс для акумулятора";корпус для аккумулятора;корпус для акумулятора;"Виробник, Тип устройства"
3;101003;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;Кріплення для сонячних панелей;"крепление солнечных панелей, монтаж солнечных панелей, держатель панелей солнечных, крепеж солнечных модулей, система крепления pv, монтажный комплект панелей, кронштейн для солнечных панелей, крепеж для крыши солнечных панелей";"кріплення сонячних панелей, монтаж сонячних панелей, тримач панелей сонячних, кріплення сонячних модулів, система кріплення pv, монтажний комплект панелей, кронштейн для сонячних панелей, кріплення для даху сонячних панелей";крепление солнечных панелей;кріплення сонячних панелей;"Виробник, Тип устройства"
4;5140401;https://prom.ua/Invertory;Інвертори;"инвертор напряжения, преобразователь напряжения, инвертор 12в 220в, инвертор для дома, инвертор синусоида, инвертор для солнечных систем, инвертор автономный, инвертор power";"інвертор напруги, перетворювач напруги, інвертор 12в 220в, інвертор для дому, інвертор синусоїда, інвертор для сонячних систем, інвертор автономний, інвертор power";инвертор;інвертор;"Виробник, Тип устройства"
5;6371101;https://prom.ua/ua/Portativnaya-akustika;Портативні колонки;"портативная колонка, bluetooth колонка, беспроводная колонка, акустическая колонка portable, музыкальная колонка, переносная колонка, smart колонка, колонка для телефона, мощная bluetooth колонка, колонка с аккумулятором";"портативна колонка, bluetooth колонка, бездротова колонка, акустична колонка portable, музична колонка, переносна колонка, smart колонка, колонка для телефону, потужна bluetooth колонка, колонка з акумулятором";портативная колонка;портативна колонка;"Виробник, Тип устройства"
6;5090319;https://prom.ua/ua/Zariadnye-ustroistva-dlia-smartfonov-y-planshetov;Адаптери для телефонів і планшетів;"адаптер для телефона, адаптер для планшета, usb адаптер питания, зарядный адаптер, блок питания usb, адаптер зарядки устройства, сетевой адаптер usb, адаптер type c, адаптер для гаджетов, адаптер питания смартфона";"адаптер для телефону, адаптер для планшета, usb адаптер живлення, зарядний адаптер, блок живлення usb, адаптер зарядки пристрою, мережевий адаптер usb, адаптер type c, адаптер для гаджетів, адаптер живлення смартфона";адаптер для телефона;адаптер для телефону;"Виробник, Тип устройства"
7;71109;https://prom.ua/Vneshnie-akkumulyatory-dlya-tsifrovoj-tehniki;Повербанки;"повербанк, power bank аккумулятор, внешний аккумулятор, портативная батарея, аккумулятор для телефона, powerbank usb, мобильный аккумулятор, батарея резервная";"повербанк, power bank акумулятор, зовнішній акумулятор, портативна батарея, акумулятор для телефону, powerbank usb, мобільний акумулятор, батарея резервна";повербанк;повербанк;"Виробник, Тип устройства"
8;5280501;https://prom.ua/Akkumulyatornye-bloki;Система керування акумулятора;"система управления аккумулятора, bms система, контроллер батареи, система управления батареей, bms контроллер, система защиты аккумулятора, контроллер зарядки батареи, система мониторинга аккумулятора, bms для литиевых батарей, система контроля батареи";"система керування акумулятора, bms система, контролер батареї, система керування батареєю, bms контролер, система захисту акумулятора, контролер зарядки батареї, система моніторингу акумулятора, bms для літієвих батарей, система контролю батареї";система управления аккумулятора;система керування акумулятора;"Виробник, Тип устройства"
9;5280501;https://prom.ua/Akkumulyatornye-bloki;Аксесуари для акумуляторів;"аксессуары для аккумуляторов, комплектующие для акб, аксессуары battery, кабель для аккумулятора, держатель батареи, защита аккумулятора, разъем для аккумулятора, адаптер аккумулятора, battery accessories, крепление для аккумулятора";"аксесуари для акумуляторів, комплектуючі для акб, аксесуари battery, кабель для акумулятора, тримач батареї, захист акумулятора, роз'єм для акумулятора, адаптер акумулятора, battery accessories, кріплення для акумулятора";аксессуары для аккумуляторов;аксесуари для акумуляторів;"Виробник, Тип устройства"
10;5280501;https://prom.ua/Akkumulyatornye-bloki;Акумулятори;"аккумулятор, аккумуляторная батарея, акб, rechargeable battery, литиевый аккумулятор, аккумулятор 12в, батарея питания, аккумулятор для техники, аккумуляторная система, power battery";"акумулятор, акумуляторна батарея, акб, rechargeable battery, літієвий акумулятор, акумулятор 12в, батарея живлення, акумулятор для техніки, акумуляторна система, power battery";аккумулятор;акумулятор;"Виробник, Тип устройства, Тип акумулятора, Ємність акумулятору, Напруга"
