supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
;Робоча температура;(?<!\d)((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cс]|℃|°)?\s*(?:до|\||[~\-–—])\s*\+?\s*((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cс]|℃|°)?;regex;Мінімальна робоча температура;град.;$1 ;100;TRUE;global;extract;
;Робоча температура;(?<!\d)((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cс]|℃|°)?\s*(?:до|\||[~\-–—])\s*\+?\s*((?:[\-–—−]\s*)?\d+)\s*(?:°\s*[cс]|℃|°)?;regex;Максимальна робоча температура;град.;$2 ;101;TRUE;global;extract;
;"Довжина, мм";"(\d+(?:[.,]\d+)?)";regex;Довжина;мм;$1 ;102;TRUE;global;extract;
;"Ширина, мм";"(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$1 ;103;TRUE;global;extract;
;"Висота, мм";"(\d+(?:[.,]\d+)?)";regex;Висота;мм;$1 ;104;TRUE;global;extract;
;"Габаритні розміри (ДхШхВ), мм";"(\d+(?:[.,]\d+)?)\s*[xXх×*]\s*(\d+(?:[.,]\d+)?)\s*[xXх×*]\s*(\d+(?:[.,]\d+)?)";regex;Довжина;мм;$1 ;105;TRUE;global;extract;
;"Габаритні розміри (ДхШхВ), мм";"(\d+(?:[.,]\d+)?)\s*[xXх×*]\s*(\d+(?:[.,]\d+)?)\s*[xXх×*]\s*(\d+(?:[.,]\d+)?)";regex;Ширина;мм;$2 ;106;TRUE;global;extract;
;"Габаритні розміри (ДхШхВ), мм";"(\d+(?:[.,]\d+)?)\s*[xXх×*]\s*(\d+(?:[.,]\d+)?)\s*[xXх×*]\s*(\d+(?:[.,]\d+)?)";regex;Висота;мм;$3 ;107;TRUE;global;extract;
;"Вага, г";([0-9]+(?:\.[0-9]+)?);regex;Вага;г;$1 ;108;TRUE;global;extract;
;"Вага, кг";([0-9]+(?:\.[0-9]+)?);regex;Вага;кг;$1 ;109;TRUE;global;extract;
;"Гарантія, міс";([0-9]+);regex;Гарантійний термін;;$1 ;110;TRUE;global;extract;
;Гарантія (міс.);([0-9]+);regex;Гарантійний термін;;$1 ;111;TRUE;global;extract;
(?i).*\bнеуправляемый\b.*;;;regex;Тип комутатора;;Некерований;1;TRUE;71903;name;
(?i).*\bуправляемый\b.*;;;regex;Тип комутатора;;Керований рівня 2;2;TRUE;71903;name;
(?i).*\bL2\+\b.*;;;regex;Тип комутатора;;Керований рівня 2+;3;TRUE;71903;name;
(?i).*\bL3\b.*;;;regex;Тип комутатора;;Керований рівня 3 і вище;4;TRUE;71903;name;
;Тип комутатора;.*2\s*рівня.*;regex;Тип комутатора;;Керований рівня 2;5;TRUE;71903;attribute;
;Тип комутатора;.*3\s*рівня.*;regex;Тип комутатора;;Керований рівня 3 і вище;6;TRUE;71903;attribute;
(?i).*\b10G\b.*;;;regex;Тип портів;;10Gigabit Ethernet;7;TRUE;71903;name;
;Ethernet порти (Uplink);.*10/100/1000.*;regex;Тип портів;;Gigabit Ethernet;8;TRUE;71903;attribute;
;Ethernet порти (DownLink);.*10/100/1000.*;regex;Тип портів;;Gigabit Ethernet;9;TRUE;71903;attribute;
;Ethernet порти (Uplink);^10/100\s*Мбіт/с$;regex;Тип портів;;Fast Ethernet;10;TRUE;71903;attribute;
;Ethernet порти (DownLink);^10/100\s*Мбіт/с$;regex;Тип портів;;Fast Ethernet;11;TRUE;71903;attribute;
;Ethernet порти (Uplink);^1000\s*Мбіт/с$;regex;Тип портів;;Gigabit Ethernet;12;TRUE;71903;attribute;
;Ethernet порти (DownLink);^1000\s*Мбіт/с$;regex;Тип портів;;Gigabit Ethernet;13;TRUE;71903;attribute;
;Кількість портів UPLINK;.*10/100/1000.*;regex;Тип портів;;Gigabit Ethernet;14;TRUE;71903;attribute;
;Кількість портів UPLINK;.*SFP.*;regex;Тип портів;;SFP;15;TRUE;71903;attribute;
;"Кількість портів BASE-T не менше 100 Мбіт/с*, од.";(\d+);regex;Загальна кількість портів;шт.;$1 ;16;TRUE;71903;extract;
;Комутаційна здатність;^(\d+)-RJ45;regex;Загальна кількість портів;шт.;$1 ;17;TRUE;71903;extract;
;Вид встановлення;.*rack-mount.*;regex;Форм-фактор;;В стійку;18;TRUE;71903;attribute;
;Вид встановлення;.*настіль.*;regex;Форм-фактор;;Настільний;19;TRUE;71903;attribute;
;Вид встановлення;.*настінн.*;regex;Форм-фактор;;Навісний;20;TRUE;71903;attribute;
;Вид встановлення;.*rack-mount.*;regex;Можливість монтажу в стійку;;Так;21;TRUE;71903;attribute;
;"Довжина, мм";"^44[03](?:[.,]\d+)?$";regex;Можливість монтажу в стійку;;Так;22;TRUE;71903;attribute;
(?i).*SFP\+.*;;;regex;Наявність портів SFP+;;Так;23;TRUE;71903;name;
(?i).*SFP(?!\+).*;;;regex;Наявність портів SFP;;Так;24;TRUE;71903;name;
;Кількість портів UPLINK;.*SFP\+.*;regex;Наявність портів SFP+;;Так;25;TRUE;71903;attribute;
;Кількість портів UPLINK;.*SFP(?!\+).*;regex;Наявність портів SFP;;Так;26;TRUE;71903;attribute;
(?i).*\bPOE\b.*;;;regex;Підтримка PoE;;Так;27;TRUE;71903;name;
;Протоколи PoE;.+;regex;Підтримка PoE;;Так;28;TRUE;71903;attribute;
;Бюджет PoE;.+;regex;Підтримка PoE;;Так;29;TRUE;71903;attribute;
(?i).*\bбілий\b.*;;;regex;Колір;;Білий;30;TRUE;71903;name;
(?i).*\bбелый\b.*;;;regex;Колір;;Білий;31;TRUE;71903;name;
(?i).*\bсірий\b.*;;;regex;Колір;;Сірий;32;TRUE;71903;name;
(?i).*\bсерый\b.*;;;regex;Колір;;Сірий;33;TRUE;71903;name;
;Тип;комутатори;exact;Тип устройства;;Комутатори;34;TRUE;71903;attribute;
;Тип;розгалужувач;exact;Тип устройства;;Комутатори;35;TRUE;71903;attribute;
.*\bLiFePO4\b.*;;;regex;Тип акумулятора;;LiFePO4;1;TRUE;5280501;name;
.*(?:LPM-GL).*;;;regex;Тип акумулятора;;GEL;2;TRUE;5280501;name;
.*(?:гелев\w*).*;;;regex;Тип акумулятора;;GEL;3;TRUE;5280501;name;
.*(?:мультигелев\w*|LPM-MG).*;;;regex;Тип акумулятора;;AGM;4;TRUE;5280501;name;
.*\bAGM\b.*;;;regex;Тип акумулятора;;AGM;5;TRUE;5280501;name;
.*\bLi-?ion\b.*;;;regex;Тип акумулятора;;Li-Ion;6;TRUE;5280501;name;
;Тип;LiFePO4;exact;Тип акумулятора;;LiFePO4;7;TRUE;5280501;attribute;
;Тип;Li-ion;exact;Тип акумулятора;;Li-Ion;8;TRUE;5280501;attribute;
;Тип;(?i)гелев\w*;regex;Тип акумулятора;;GEL;9;TRUE;5280501;attribute;
;Тип;(?i)AGM мультигелев\w*;regex;Тип акумулятора;;AGM;10;TRUE;5280501;attribute;
;Тип;(?i)AGM свинцево-кислотн\w*;regex;Тип акумулятора;;AGM;11;TRUE;5280501;attribute;
"\b(\d+(?:[.,]\d+)?)\s*Ah\b";;;regex;Ємність акумулятору;А. г;$1 ;12;TRUE;5280501;name;
"\b(\d+(?:[.,]\d+)?)\s*V\b";;;regex;Напруга;В;$1 ;13;TRUE;5280501;name;
;"Номінальна ємність, Ah";"(\d+(?:[.,]\d+)?)";regex;Ємність акумулятору;А. г;$1 ;14;TRUE;5280501;extract;
;"Номінальна напруга, V";"\d+\s*\((\d+(?:[.,]\d+)?)\)";regex;Напруга;В;$1 ;15;TRUE;5280501;extract;
;"Номінальна напруга, V";"^(\d+(?:[.,]\d+)?)$";regex;Напруга;В;$1 ;16;TRUE;5280501;extract;
;Тип клеми;[ТT]1\b;regex;Тип струмовивіду;;T1;17;TRUE;5280501;attribute;
;Тип клеми;[ТT]2\b;regex;Тип струмовивіду;;T2;18;TRUE;5280501;attribute;
;Тип клеми;[ТT]3\b;regex;Тип струмовивіду;;T3;19;TRUE;5280501;attribute;
;Тип клеми;[ТT]6\b;regex;Тип струмовивіду;;T6;20;TRUE;5280501;attribute;
;Тип клеми;[ТT]8\b;regex;Тип струмовивіду;;T8;21;TRUE;5280501;attribute;
;Тип клеми;[ТT]11\b;regex;Тип струмовивіду;;Т11;22;TRUE;5280501;attribute;
;Тип клеми;[ТT]12\b;regex;Тип струмовивіду;;T12;23;TRUE;5280501;attribute;
;Тип клеми;[ТT]14\b;regex;Тип струмовивіду;;Т14;24;TRUE;5280501;attribute;
;"Номінальний струм заряду, A";"(\d+(?:[.,]\d+)?)";regex;Струм заряду;А;$1 ;25;TRUE;5280501;extract;
;Кількість циклів;(\d+);regex;Напрацювання;циклів заряду;$1 ;26;TRUE;5280501;extract;
