Категория1;Категория2;Категория3;Категория4;Адрес_подраздела;Идентификатор_подраздела
Інженерно-будівельні послуги;"Інженерно-будівельні послуги, загальне";;;https://prom.ua/ua/Drugie-inzhenerno-stroitelnye-uslugi;284103
Інженерно-будівельні послуги;Інженерні дослідження для будівництва;;;https://prom.ua/ua/Inzhenerno-ekologicheskie-izyskaniya;280583
Інженерно-будівельні послуги;Берегоукріплювальні послуги;;;https://prom.ua/ua/Beregoukrepitelnye-uslugi;284271
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Алмазне свердління і різання бетону;;https://prom.ua/ua/Almaznoe-sverlenie;284165
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Бетонні роботи;;https://prom.ua/ua/Betonnye-raboty;284164
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;"Будівельно ремонтні послуги, загальне";;https://prom.ua/ua/Drugie-stroitelnye-i-remontnye-uslugi;28410107
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Будівництво басейнів;;https://prom.ua/ua/Proektirovanie-i-stroitelstvo-bassejnov;284109
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Будівництво будинків;;https://prom.ua/ua/Stroitelstvo-kottedzhej-domov;28410105
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;"Будівництво парканів, воріт і огорож";;https://prom.ua/ua/Proektirovanie-i-stroitelstvo-zaborov-ograd;284153
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;"Будівництво саун, лазень, садових будиночків та альтанок";;https://prom.ua/ua/Proektirovanie-i-stroitelstvo-saun-i-ban;130118
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Будівництво та реконструкція промислових будівель і споруд;;https://prom.ua/ua/Stroitelstvo-mobilnyh-domov;284160
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;"Будівництво та ремонт доріг, мостів тунелів";;https://prom.ua/ua/Stroitelstvo-i-remont-dorog;284279
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Виготовлення сходів;;https://prom.ua/ua/Izgotovlenie-i-montazh-lestnits;284117
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;"Виготовлення і обслуговування камінів, печей, барбекю";;https://prom.ua/ua/Izgotovlenie-i-montazh-kaminov;284115
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;"Виготовлення, монтаж та ремонт вікон і дверей";;https://prom.ua/ua/Montazh-remont-i-izgotovlenie-dverej;284300
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Комплексний ремонт приміщень;;https://prom.ua/ua/Remont-zhilyh-pomeschenij;284138
Інженерно-будівельні послуги;Будівельно-ремонтні послуги;Мурування стін;;https://prom.ua/ua/Kamennye-raboty;284234
