prom_category_id;prom_category_name;coef;coef_uncategorized;coef_no_base
;;;1.45;1.2
513;Комплектуючі для освітлення та електрики > Подовжувачі електричні;1.50;;
518;Аудіотехніка та аксесуари > Акустичні системи;1.44;;
602;Продаж побутової техніки для кухні > Холодильники;1.35;;
608;Побутова техніка для дому > Пилососи;1.44;;
613;Уборка > Освежители воздуха;1.44;;
623;Аксесуари для телевізорів та проекторів > ДУ пульти;1.44;;
625;Кліматична техніка > Зволожувачі та очищувачі повітря;1.35;;
706;Комп'ютерна техніка та ПЗ > Монітори;1.35;;
1336;Аксесуари та фурнітура для вікон та дверей > Дверні дзвінки;1.50;;
1354;Ліси та інші конструкції для ремонтно-будівельних робіт > Комплектуючі для сходів та будівельних риштувань;1.44;;
1507;Аудіотехніка та аксесуари > Батарейки;1.50;;
1902;Відеотехніка > Відеокамери, екшн-камери;1.44;;
2657;Фото-, відеокамери та аксесуари > Квадрокоптери;1.27;;
2703;Товари для догляду за домашніми тваринами > Засоби для гігієни тварин;1.44;;
3029;Система розумний будинок > Домофони;1.44;;
3030;Засоби та системи СКУД > Системи СКУД;1.44;;
5505;Авто - мото > Электромобильные зарядные устройства и станции;1.44;;
30813;Спецодяг та взуття > Захисний спецодяг;1.44;;
30816;Спецодяг та взуття > Робочі рукавички;1.44;;
33915;Аксесуари > Дощовики;1.44;;
50505;Радіовимірювальні прилади > Металошукачі, металодетектори;1.44;;
50904;Устаткування для електропостачання > Щитове обладнання;1.50;;
50906;Засоби зв'язку та позиціонування > Переговорні пристрої;1.44;;
50918;Інструмент для мережевих робіт > Кабельні тестери, wi-fi тестери;1.44;;
50928;Активне мережеве обладнання > Устаткування для живлення через ethernet;1.44;;
52806;Системи, що використовують сонячну енергію > Сонячні панелі;1.44;;
53004;Електрика > Електричні розетки;1.50;;
53005;Комплектуючі для освітлення та електрики > Вилки електричні;1.50;;
63022;Побутова техніка для дому > Пароочисники;1.44;;
63701;Аудіотехніка та аксесуари > Підсилювачі звуку;1.44;;
63705;Носії інформації > Карти пам'яті;1.44;;
63708;Аксесуари для телевізорів та проекторів > Кріплення та ліфти для побутової, цифрової техніки;1.27;;
63719;Аксесуари для телевізорів та проекторів > Кабелі для електроніки;1.44;;
64404;Запчастини та аксесуари для побутової техніки > Запчастини для пилососів, пароочисників;1.44;;
64430;Запчастини для зволожувачів, очищувачів повітря;1.35;;
70105;Комп'ютерна техніка та ПЗ > Планшети;1.35;;
70306;Монтажне обладнання > Монтажні шафи;1.44;;
70308;Серверне обладнання > Аксесуари та комплектуючі для серверного обладнання;1.27;;
70501;Носії інформації > USB накопичувачі;1.27;;
70704;Комплектуючі для комп'ютерної техніки > Внутрішні та зовнішні жорсткі диски, HDD, SSD;1.35;;
70807;Серверне обладнання > Мережеві накопичувачі;1.44;;
71109;Повербанки та зарядні станції > Повербанки;1.44;;
71113;Комп'ютерні аксесуари > Комп'ютерні клавіатури;1.27;;
71902;Бездротовий зв'язок > Роутери;1.27;;
71903;Активне мережеве обладнання > Комутатори;1.27;;
100703;Системи, що використовують сонячну енергію > Сонячні контролери;1.44;;
101003;Альтернативні джерела енергії > Комплектуючі для альтернативних джерел енергії;1.44;;
121105;Обладнання для автомийок > Апарати високого тиску;1.44;;
121246;Засоби аварійної безпеки > Набори та аксесуари для автомобіліста;1.44;;
132604;Машини та обладнання для бетонних робіт > Бетонозмішувачі;1.44;;
135605;Ворота, огорожі, шлагбауми та комплектуючі > Шлагбауми;1.44;;
141002;Компресори > Компресори поршневі;1.35;;
141702;Оснащення для інструменту > Викруткові біти;1.44;;
141703;Електроінструмент > Фрезерні машини;1.44;;
141706;Електроінструмент > Будівельні фени;1.44;;
141711;Електроінструмент > Дрилі, шуруповерти;1.44;;
141713;Електроінструмент > Електролобзики;1.44;;
141714;Електроінструмент > Електричні гайковерти;1.44;;
141717;Електроінструмент > Шліфувальні машини;1.44;;
141718;Електроінструмент > Штроборези;1.44;;
141720;Електричні пилки > Електроножовки;1.44;;
141723;Електроінструмент > Електричні будівельні міксери;1.44;;
141725;Електроінструмент > Перфоратори;1.44;;
141726;Електроінструмент > Клейові електричні пістолети;1.44;;
141735;Електроінструмент > Багатофункціональні інструменти;1.44;;
142001;Інструмент > Комплектуючі та запчастини до інструменту;1.44;;
142004;Інструмент > Набори інструментів;1.44;;
142007;Інструмент > Скриньки, сумки для інструментів;1.44;;
142614;Допоміжне обладнання > Станини, верстати, робочі столи;1.35;;
143109;Металообробні верстати > Точильні верстати;1.35;;
147002;Промислове прибиральне та очисне обладнання > Промислові пилососи;1.44;;
150111;Гігієна та догляд за дітьми > Аксесуари для безпеки дітей;1.44;;
150401;Освітлення, електрика > Вуличне освітлення;1.44;;
150402;Світильники > Лампочки;1.44;;
150405;Висвітлення, електрика > Промислове освітлення;1.44;;
150410;Туристичні інструменти > Ручні та налобні ліхтарі;1.50;;
150417;Освітлення, електрика > Офісно-торгове освітлення;1.44;;
150426;Освітлення, електрика > LED освітлення;1.44;;
151405;Прибирання > Щітки та скребки для збирання;1.44;;
151406;Прибирання > Господарські рукавички;1.44;;
153502;Система розумний будинок > Аксесуари для домофонного обладнання;1.44;;
153504;Система розумний будинок > Датчики для розумного будинку;1.50;;
153709;Прилади вимірювання, регулювання температури > Термометри, пірометри, тепловізори;1.44;;
153719;Датчики > Датчики якості повітря;1.44;;
153729;Оптичні прилади та системи > Тактичні тепловізори;1.35;;
180312;Товари для полювання > Фотопастки, камери для полювання;1.44;;
181010;Туристичні інструменти > Ножі для полювання, риболовлі та туризму;1.44;;
181201;Товари для прогулянок та подорожей з тваринами > Сумки та контейнери для перенесення домашніх тварин;1.44;;
181613;Оптичні прилади та системи > Приціли та мушки;1.35;;
190402;Строительный измерительный инструмент > Лазерные нивелиры, уровни, сканеры;1.44;;
190403;Оптичні прилади та системи > Лазерні дальноміри;1.44;;
190407;Оптичні прилади та системи > Комплектуючі для оптичних приладів;1.35;;
240457;Туристичний посуд > Туристичні фляги;1.44;;
270204;Годівля домашніх тварин та птахів > Годівниці, напувалки та миски для домашніх тварин та птахів;1.44;;
300402;Засоби аварійної безпеки > Проблискові маячки, спецсигнали та сирени;1.44;;
300410;Система умный дом > Системы видеонаблюдения;1.44;;
300418;Устаткування електронне, прилади захисту та безпеки > Системи захисту від потопу;1.50;;
300508;Тактичний захист та екіпірування > Аксесуари та комплектуючі для касок та бронежилетів;1.44;;
300921;Пожежна автоматика > Пожежні сповіщувачі;1.44;;
300934;Пожежна автоматика > Модулі контролю та управління;1.44;;
301010;Замки та засувки > Замки;1.44;;
301011;Аксесуари та фурнітура для вікон та дверей > Засувки;1.44;;
301101;Система розумний будинок > Стаціонарні відеореєстратори;1.44;;
301105;Технічні засоби відеоспостереження > Камери відеоспостереження;1.44;;
301106;Технічні засоби відеоспостереження > Об'єктиви для камер відеоспостереження;1.44;;
301110;Комплектуючі для систем відеоспостереження > Пульти для систем відеоспостереження;1.44;;
301112;Комплектуючі для систем відеоспостереження > Кожухи та кронштейни;1.44;;
301301;Засоби та системи СКУД > Турнікети;1.44;;
301305;Система розумний будинок > Кодонабірні клавіатури;1.44;;
301310;Засоби та системи СКУД > Ідентифікатори;1.44;;
301311;Засоби та системи СКУД > Зчитувачі;1.44;;
301312;Засоби та системи СКУД > Контролери СКУД;1.44;;
301501;Засоби організації дорожнього руху > Тимчасові дорожні огородження;1.44;;
301901;Засоби захисту > Засоби захисту органів дихання;1.44;;
301908;Засоби безпеки праці > Засоби захисту очей;1.44;;
301911;Засоби захисту > Будівельні каски;1.44;;
302302;Системи охорони та оповіщення > Охоронні сповіщувачі;1.44;;
302303;Системи охорони та оповіщення > Прийомно-контрольні прилади та прилади управління;1.44;;
302306;Система розумний будинок > Охоронні системи та сигналізації;1.44;;
302307;Системи охорони та оповіщення > Брелоки, пульти для охоронних систем;1.44;;
302308;Системи охорони та оповіщення > Тривожні кнопки та кнопки виходу;1.44;;
302309;Системи охорони та оповіщення > Короби та корпуси для охоронних систем;1.44;;
340416;Автомобільна електроніка > Автомобільні відеореєстратори;1.44;;
380650;Спортивні сумки та рюкзаки > Поясні сумки;1.54;;
410201;Батареї та акумулятори > Зарядні пристрої для акумуляторів;1.44;;
410402;Генератори та електростанції > Електрогенератори;1.35;;
410612;Електрика > Настінні вимикачі;1.44;;
420504;Метричний кріплення > Гайки;1.50;;
420507;Метрический крепеж > Шайбы, гровер;1.50;;
420512;Метрический крепеж > Крепежные винты;1.50;;
500415;Фото-, відеокамери та аксесуари > Запчастини та комплектуючі для квадрокоптерів;1.27;;
500901;Повербанки та зарядні станції > Зарядні станції;1.35;;
1250301;Інструменти для обрізки > Кущорізи;1.35;;
1250303;Інструменти для обробки ґрунту > Вила;1.44;;
1250305;Інструменти для обробки ґрунту > Посадкові совки, вилки;1.44;;
1250307;Інструменти для обробки ґрунту > Мотики, сапки, сапки;1.44;;
1250308;Інструмент для скошування трави > Газонокосарки;1.35;;
1250309;Садовий інвентар та освітлення > Садові пилососи, повітродувки;1.35;;
1250311;Інструменти для обрізки > Пилки для обрізки гілок;1.44;;
1250312;Інструменти для обрізки > Садові ножиці, секатори, ножі;1.44;;
1250313;Інструменти для обробки ґрунту > Граблі;1.44;;
1250321;Інструмент для скошування трав > Мотокоси та тримери;1.35;;
3080804;Одяг робочий > Комбінезони та напівкомбінезони робітники;1.44;;
3082002;Тактичний захист та екіпірування > Розвантажувальні жилети та плитоноски без плит;1.44;;
5090201;Телефони та аксесуари > Стаціонарні телефони;1.44;;
5090319;Аксесуари для мобільних телефонів > Зарядні пристрої для смартфонів та планшетів;1.44;;
5090503;Бездротовий зв'язок > Підсилювачі антенні;1.27;;
5090506;Бездротовий зв'язок > Мости, шлюзи бездротових мереж;1.27;;
5090509;Бездротовий зв'язок > Wi-fi адаптери;1.27;;
5090510;Аксесуари для телевізорів та проекторів > Телевізійні антени;1.27;;
5092006;Оптоволоконне обладнання > Оптичні конвертери;1.44;;
5092007;Оптоволоконне обладнання > Модулі GBIC та SFP;1.27;;
5092902;Пасивне мережеве обладнання > Патч-панелі;1.27;;
5092904;Пасивне мережеве обладнання > Комунікаційні розетки;1.50;;
5092913;Монтажне обладнання > Кабеленесучі системи;1.50;;
5093501;Інструмент для мережевих робіт > Інструмент для закладення кабелю;1.44;;
5140401;Перетворювачі > Інвертори;1.35;;
5280501;Батареї та акумулятори > Акумулятори загального призначення;1.35;;
6370603;Супутникове, кабельне телебачення > Ресивери цифрового телебачення;1.44;;
6370714;TV та відеотехніка > Телевізори;1.35;;
6370902;TV та відеотехніка > Медіаплеєри;1.44;;
6371204;Аудіотехніка та аксесуари > Мікрофони;1.27;;
6371702;Супутникове та кабельне телебачення > Супутникові конвертери;1.27;;
6371703;Супутникове, кабельне телебачення Дайсеки, підсилювачі, телевізійні розгалужувачі;1.27;;
6371704;Супутникове та кабельне телебачення > Супутникові антени;1.27;;
6371808;Професійне аудіо-, відео-, фото обладнання > Комутатори сигналу;1.27;;
6371809;Професійне аудіо-, відео-, фото обладнання > Приймачі та передавачі сигналу;1.44;;
6371818;Системи охорони та оповіщення > Гучномовці;1.27;;
7081201;Інструменти для обробки ґрунту > Ручні культиватори, плуги;1.44;;
7190601;Пасивне мережеве обладнання > Мережні конектори, модулі та роз'єми;1.27;;
7190603;Пасивне мережеве обладнання > HUB'и, мости, репітери;1.27;;
7190604;Пасивне мережеве обладнання > Патч-корди;1.27;;
7190605;Провід, кабель, системи з'єднання > Кабель для систем зв'язку;1.50;;
8210510;Догляд за побутовою технікою > Засоби для очищення побутової техніки;1.35;;
12110205;Автоінструмент > Автомобільні насоси, компресори та манометри;1.35;;
13040909;Геодезичне обладнання > Нівелірні рейки та віхи;1.44;;
13070701;Ліси та інші конструкції для ремонтно-будівельних робіт > Драбини;1.44;;
13070703;Ліси та інші конструкції для ремонтно-будівельних робіт > Будівельні та садові сходи;1.44;;
13240415;Побутове очищення води > Побутові фільтри комплексного очищення води;1.50;;
13560901;Ворота, огорожі, шлагбауми та комплектуючі > Аксесуари для воріт та шлагбаумів;1.44;;
14172701;Електричні пилки > Ручні дискові пилки;1.44;;
14190303;Електроізолятори > Електроізоляційні стрічки та трубки;1.50;;
14190406;Провід, кабель, системи з'єднання > Роз'єми та конектори;1.44;;
14190408;Провід, кабель, системи з'єднання > Силові кабелі, перемички;1.50;;
14190409;Провід, кабель, системи з'єднання > Шнури, перехідники;1.44;;
14190901;Реле > Реле напруги;1.50;;
14190906;Реле > Автоматичні вимикачі, ПЗВ;1.50;;
14191103;Блоки живлення > Промислові та побутові джерела живлення;1.50;;
14191106;Блоки живлення > Джерела безперебійного живлення (ДБЖ);1.50;;
14191107;Блоки живлення > Стабілізатори напруги;1.35;;
14200301;Ручний інструмент > Сокири;1.44;;
14200305;Ручний інструмент > Молотки, кувалди, киянки;1.44;;
14200306;Ручний інструмент > Будівельні ножі, ножиці;1.44;;
14200308;Дереворізальний інструмент > Ручні пилки, ножівки;1.44;;
14200310;Ручний інструмент > Викрутки;1.44;;
14200327;Ключі > Розлучні ключі;1.44;;
14200329;Ключі > Шестигранні ключі;1.44;;
14200332;Ключі > Торцеві головки;1.44;;
14200340;Губцеві інструменти > Бокорізи, кусачки;1.44;;
14200341;Губцеві інструменти > Пасатижі, плоскогубці, тонкогубці;1.44;;
14200347;Губцеві інструменти > Затискні кліщі;1.44;;
14200348;Губцеві інструменти > Трубні кліщі;1.44;;
14200355;Ручні знімники > Зйомники ізоляції;1.44;;
14200358;Ручний інструмент > Ручний обтискний інструмент;1.44;;
14200374;Ручний інструмент > Будівельні олівці, маркери;1.44;;
14200378;Ключі > Набори ключів;1.44;;
14200390;Ручний інструмент > Монтажні пінцети;1.44;;
14200394;Ручний інструмент > Мультитули;1.44;;
14200513;Пневматичний інструмент > Пневматичні відбійні молотки;1.44;;
14200604;Будівельний інструмент > Вимірювальні рулетки;1.44;;
14200610;Датчики > Датчики безконтактні;1.44;;
14200612;Датчики > Датчики вологості та температури;1.44;;
14200914;Гідравлічний інструмент > Гідравлічні ланцюгові пилки;1.35;;
14201002;Металорізальний інструмент > Ножиці ручні по металу;1.44;;
14201502;Оснащення для інструментів > Ножівочні полотна;1.44;;
14201506;Оснащення для інструменту > Пилки для лобзиків;1.44;;
14201509;Оснащення для інструментів > Відрізні, зачисні, шліфувальні, пиляльні круги;1.44;;
14201512;Оснащення для інструменту > Зубила, долото для перфоратора;1.44;;
14201516;Оснащення для інструментів > Оливи, мастила для інструментів;1.35;;
14201602;Інструменти для обробки ґрунту > Лопати;1.44;;
14201607;Оснащення для інструментів > Свердла, бури;1.44;;
14201622;Будівельний вимірювальний інструмент > Будівельні рівні;1.44;;
14400803;Електроінструмент > Паяльники;1.44;;
15010508;Гігієна та догляд за дітьми > Радіоняні, відеоняні;1.44;;
15040605;Світильники > Стельові світильники;1.44;;
15040606;Світильники > LED підсвічування інтер'єрів;1.44;;
15230410;Кухонне начиння > Кухонні ножі та підставки;1.44;;
15230411;Дрібна побутова техніка для кухні > Кухонні ваги;1.44;;
15230433;Кухонне приладдя > Стругачки для ножів;1.44;;
15370306;Електровимірювальні прилади > Мультиметри;1.44;;
15370320;Прилади радіовимірювальні > Детектори прихованої проводки;1.44;;
15370706;Оптичні прилади та системи > Прилади нічного бачення;1.35;;
15380301;Аксесуари та фурнітура для вікон та дверей > Механізми та автоматика для вікон та дверей;1.44;;
15380311;Аксесуари та фурнітура для вікон та дверей > Доводчики дверей;1.54;;
15380325;Аксесуари та фурнітура для вікон та дверей > Аксесуари та комплектуючі для замків;1.54;;
39050503;Світильники > Точкові світильники та трек-системи;1.44;;
39050509;Світильники > Настільні лампи та нічники;1.44;;
1420060202;Датчики > Датчики руху;1.44;;
