prom_category_id;prom_category_name;Приналежність*:6;Група*:13;Вид*:21;royalty_percent;price_from;price_to;threshold;coef_uncategorized;coef_no_base;coef_viatec;coef_secur;coef_lp;coef
;;;;;;;;;1.4;1.2;;;;
513;Комплектующие для освещения и электрики > Электрические удлинители;дім;техніка;подовжувач;15;0;18000;1.33;;;0.9;0.9;1;
513;Комплектующие для освещения и электрики > Электрические удлинители;дім;техніка;подовжувач;10;18000;9999999999999.99;1.25;;;0.9;0.9;1;
518;Аудиотехника и аксессуары > Акустические системы;акустика і навушники;акустичні системи;акустична система;15;0;5000;1.33;;;0.9;0.9;1;
518;Аудиотехника и аксессуары > Акустические системы;акустика і навушники;акустичні системи;акустична система;12;5000;12000;1.28;;;0.9;0.9;1;
518;Аудиотехника и аксессуары > Акустические системы;акустика і навушники;акустичні системи;акустична система;10;12000;9999999999999.99;1.25;;;0.9;0.9;1;
602;Крупная бытовая техника для кухни > Холодильники;побутова техніка;велика побутова техніка;холодильник;7;0;25000;1.21;;;0.9;0.9;1;
602;Крупная бытовая техника для кухни > Холодильники;побутова техніка;велика побутова техніка;холодильник;4;25000;9999999999999.99;1.17;;;0.9;0.9;1;
608;Бытовая техника для дома > Пылесосы;побутова техніка;дрібна побутова техніка;пилосос;15;0;18000;1.33;;;0.9;0.9;1;
608;Бытовая техника для дома > Пылесосы;побутова техніка;дрібна побутова техніка;пилосос;10;18000;9999999999999.99;1.25;;;0.9;0.9;1;
623;Аксессуары для телевизоров и проекторов > ДУ пульты;дім;техніка;пульт дистанційного керування;15;0;18000;1.33;;;0.9;0.9;1;
623;Аксессуары для телевизоров и проекторов > ДУ пульты;дім;техніка;пульт дистанційного керування;10;18000;9999999999999.99;1.25;;;0.9;0.9;1;
625;Климатическая техника > Увлажнители и очистители воздуха;побутова техніка;кліматична техніка;зволожувач повітря;12;0;8000;1.28;;;0.9;0.9;1;
625;Климатическая техника > Увлажнители и очистители воздуха;побутова техніка;кліматична техніка;зволожувач повітря;10;8000;9999999999999.99;1.25;;;0.9;0.9;1;
706;Компьютерная техника и ПО > Мониторы;ноутбуки, комп'ютери і планшети;монітори;монітор;10;0;20000;1.25;;;0.9;0.9;1;
706;Компьютерная техника и ПО > Мониторы;ноутбуки, комп'ютери і планшети;монітори;монітор;7;20000;50000;1.21;;;0.9;0.9;1;
706;Компьютерная техника и ПО > Мониторы;ноутбуки, комп'ютери і планшети;монітори;монітор;5;50000;9999999999999.99;1.18;;;0.9;0.9;1;
1336;Аксессуары и фурнитура для окон и дверей > Дверные звонки;дім;безпечний дім;дзвінок;15;0;10000;1.33;;;0.9;0.9;1;
