product_type;theme;schedule;google_cat_id;google_cat_hint;notes
Дім і сад > сучасний будинок > кодонабірні клавіатури;access;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > турнікети;access;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > системи охорони та оповіщення > тривожні кнопки і кнопки виходу;access;day;365;Home & Garden > Business & Home Security > Security System Sensors;auto
"будівництво > будівельні матеріали > ворота, огорожі, шлагбауми та комплектуючі > аксесуари для воріт і шлагбаумів";access;day;502983;Hardware > Fencing & Barriers > Fence & Gate Accessories;auto
"будівництво > будівельні матеріали > ворота, огорожі, шлагбауми та комплектуючі > шлагбауми";access;day;1788;Hardware > Fencing & Barriers > Gates;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > аксесуари та комплектуючі для замків;access;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > механізми і автоматика для вікон і дверей;access;day;609;Home & Garden > Household Appliances > Garage Door Openers;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > доводчики дверей;access_closers;day;6446;Hardware > Building Materials > Door Hardware > Door Closers;auto
Дім і сад > сучасний будинок > Аксесуари для домофонного обладнання;access_components;day;5404;Electronics > Communications > Intercom Accessories;auto
безпека та захист > засоби і системи СККД > контролери СККД;access_controllers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > ідентифікатори;access_identifiers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
Дім і сад > сучасний будинок > домофони;access_intercom;night;360;Electronics > Communications > Intercoms;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > замки та клямки > Замки;access_locks;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > клямки;access_locks;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
безпека та захист > засоби і системи СККД > зчитувачі;access_readers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > системи СКВД;access_systems;day;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
"авто-, мото > аксесуари для авто > засоби аварійної безпеки > проблискові маячки, спецсигнали та сирени";alarm;night;3318;Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Lighting;auto
"безпека та захист > обладнання електронне, прилади захисту й безпеки > системи захисту від потопу";alarm;day;1306;"Home & Garden > Flood, Fire & Gas Safety > Water & Flood Detectors";auto
"безпека та захист > системи охорони та оповіщення > брелоки, пульти для охоронних систем";alarm;day;365;Home & Garden > Business & Home Security > Security System Sensors;auto
безпека та захист > системи охорони та оповіщення > короби та корпуси для охоронних систем;alarm;day;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
