prom_category_id;prom_category_name;coef_cry;coef_transition
;;;1.19
513;Комплектующие для освещения и электрики > Электрические удлинители;1.32;
518;Аудиотехника и аксессуары > Акустические системы;1.31;
602;Крупная бытовая техника для кухни > Холодильники;1.27;
608;Бытовая техника для дома > Пылесосы;1.30;
623;Аксессуары для телевизоров и проекторов > ДУ пульты;1.35;
625;Климатическая техника > Увлажнители и очистители воздуха;1.27;
706;Компьютерная техника и ПО > Мониторы;1.29;
1336;Аксессуары и фурнитура для окон и дверей > Дверные звонки;1.32;
1354;Леса и другие конструкции для ремонтно-строительных работ > Комплектующие для лестниц и строительных лесов;1.27;
1507;Аудиотехника и аксессуары > Батарейки;1.35;
1902;Видеотехника > Видеокамеры, экшн-камеры;1.30;
2657;Фото-, видеокамеры и аксессуары > Квадрокоптеры;1.27;
2703;Товары для ухода за домашними животными > Средства для гигиены животных;1.26;
3029;Система умный дом > Домофоны;1.31;
3030;Средства и системы СКУД > Системы СКУД;1.19;
30813;Спецодежда и обувь > Защитная спецодежда;1.35;
33915;Аксессуары > Дождевики;1.30;
50505;Радиоизмерительные приборы > Металлоискатели, металлодетекторы;1.31;
50904;Оборудование для электроснабжения > Щитовое оборудование;1.30;
50906;Средства связи и позиционирования > Переговорные устройства;1.21;
50918;Инструмент для сетевых работ > Кабельные тестеры, wi-fi тестеры;1.30;
50928;Активное сетевое оборудование > Оборудование для питания по ethernet;1.25;
52806;Системы использующие солнечную энергию > Солнечные панели;1.27;
53004;Электрика > Электрические розетки;1.30;
53005;Комплектующие для освещения и электрики > Вилки электрические;1.31;
63022;Бытовая техника для дома > Пароочистители;1.31;
63701;Аудиотехника и аксессуары > Усилители звука;1.31;
63705;Носители информации > Карты памяти;1.33;
63708;Аксессуары для телевизоров и проекторов > Крепления и лифты для бытовой, цифровой техники;1.34;
63719;Аксессуары для телевизоров и проекторов > Кабели для электроники;1.31;
64404;Запчасти и аксессуары для бытовой техники > Запчасти для пылесосов, пароочистителей;1.31;
64430;Запчастини для зволожувачів, очищувачів повітря;1.28;
70105;Компьютерная техника и ПО > Планшеты;1.26;
70306;Монтажное оборудование > Монтажные шкафы;1.30;
70308;Серверное оборудование > Аксессуары и комплектующие для серверного оборудования;1.19;
70501;Носители информации > USB накопители;1.33;
70704;Комплектующие для компьютерной техники > Внутренние и внешние жесткие диски, HDD, SSD;1.24;
70807;Серверное оборудование > Сетевые накопители;1.26;
71109;Повербанки и зарядные станции > Повербанки;1.33;
71113;Компьютерные аксессуары > Компьютерные клавиатуры;1.30;
71902;Беспроводная связь > Роутеры;1.27;
71903;Активное сетевое оборудование > Коммутаторы;1.27;
100703;Системы использующие солнечную энергию > Солнечные контроллеры;1.27;
101003;Альтернативные источники энергии > Комплектующие для альтернативных источников энергии;1.28;
121105;Оборудование для автомоек > Аппараты высокого давления;1.30;
121246;Средства аварийной безопасности > Наборы и аксессуары для автомобилиста;1.31;
135605;Ворота, ограждения, шлагбаумы и комплектующие > Шлагбаумы;1.19;
141002;Компрессоры > Компрессоры поршневые;1.26;
141702;Оснастка для инструмента > Отверточные биты;1.31;
141703;Электроинструмент > Фрезерные машины;1.27;
141706;Электроинструмент > Строительные фены;1.28;
141711;Электроинструмент > Дрели, шуруповерты;1.28;
141714;Электроинструмент > Электрические гайковерты;1.27;
141717;Электроинструмент > Шлифовальные машины;1.28;
141718;Электроинструмент > Штроборезы;1.27;
141720;Электрические пилы > Электроножовки;1.28;
141725;Электроинструмент > Перфораторы;1.28;
141726;Электроинструмент > Клеевые электрические пистолеты;1.28;
141735;Электроинструмент > Многофункциональные инструменты;1.27;
142001;Инструмент > Комплектующие и запчасти для инструмента;1.30;
142004;Инструмент > Наборы инструментов;1.31;
142007;Инструмент > Ящики, сумки для инструментов;1.31;
142614;Вспомогательное оборудование > Станины, верстаки, рабочие столы;1.30;
143109;Металлообрабатывающие станки > Точильные станки;1.27;
147002;Промышленное уборочное и очистительное оборудование > Промышленные пылесосы;1.19;
150111;Гигиена и уход за детьми > Аксессуары для безопасности детей;1.32;
150401;Освещение, электрика > Уличное освещение;1.32;
150402;Светильники > Лампочки;1.31;
150410;Туристические инструменты > Ручные и налобные фонари;1.34;
151406;Уборка > Хозяйственные перчатки;1.31;
153502;Система умный дом > Аксессуары для домофонного оборудования;1.30;
153504;Система умный дом > Датчики для умного дома;1.31;
153709;Приборы измерения, регулирования температуры > Термометры, пирометры, тепловизоры;1.31;
153719;Датчики > Датчики качества воздуха;1.29;
153729;Оптические приборы и системы > Тактические тепловизоры;1.21;
180312;Товары для охоты > Фотоловушки, камеры для охоты;1.28;
181010;Туристические инструменты > Ножи для охоты, рыбалки и туризма;1.30;
181613;Оптические приборы и системы > Прицелы и мушки;1.21;
190403;Оптические приборы и системы > Лазерные дальномеры;1.31;
190407;Оптичні прилади і системи > Комплектуючі для оптичних приладів;1.31;
240457;Туристическая посуда > Туристические фляги;1.29;
270204;Кормление домашних животных и птиц > Кормушки, поилки и миски для домашних животных и птиц;1.26;
300402;Средства аварийной безопасности > Проблесковые маячки, спецсигналы и сирены;1.30;
300418;Оборудование электронное, приборы защиты и безопасности > Системы защиты от потопа;1.30;
300921;Пожарная автоматика > Пожарные извещатели;1.19;
300934;Пожарная автоматика > Модули контроля и управления;1.28;
301010;Замки и защелки > Замки;1.30;
301101;Система умный дом > Стационарные видеорегистраторы;1.31;
301105;Технические средства видеонаблюдения > Камеры видеонаблюдения;1.33;
301106;Технические средства видеонаблюдения > Объективы для камер видеонаблюдения;1.19;
301110;Комплектующие для систем видеонаблюдения > Пульты для систем видеонаблюдения;1.19;
301112;Комплектующие для систем видеонаблюдения > Кожухи и кронштейны;1.31;
301301;Средства и системы СКУД > Турникеты;1.19;
301305;Система умный дом > Кодонаборные клавиатуры;1.19;
301310;Средства и системы СКУД > Идентификаторы;1.19;
301311;Средства и системы СКУД > Считыватели;1.19;
301312;Средства и системы СКУД > Контроллеры СКУД;1.19;
301501;Средства организации дорожного движения > Временные дорожные ограждения;1.31;
301901;Средства защиты > Средства защиты органов дыхания;1.21;
301908;Средства безопасности труда > Средства защиты глаз;1.29;
301911;Средства защиты > Строительные каски;1.29;
302302;Системы охраны и оповещения > Охранные извещатели;1.27;
302303;Системы охраны и оповещения > Приемно-контрольные приборы и приборы управления;1.19;
302306;Система умный дом > Охранные системы и сигнализации;1.31;
302307;Системы охраны и оповещения > Брелки, пульты для охранных систем;1.29;
302308;Системы охраны и оповещения > Тревожные кнопки и кнопки выхода;1.19;
302309;Системы охраны и оповещения > Коробы и корпуса для охранных систем;1.27;
340416;Автомобильная электроника > Автомобильные видеорегистраторы;1.31;
380650;Спортивные сумки и рюкзаки > Поясные сумки;1.34;
410201;Батареи и аккумуляторы > Зарядные устройства для аккумуляторов;1.31;
410402;Генераторы и электростанции > Электрогенераторы;1.28;
410612;Электрика > Настенные выключатели;1.31;
420504;Метрический крепеж > Гайки;1.31;
500415;Фото-, видеокамеры и аксессуары > Запчасти и комплектующие для квадрокоптеров;1.21;
500901;Повербанки и зарядные станции > Зарядные станции;1.29;
1250303;Инструменты для обработки почвы > Вилы;1.31;
1250305;Инструменты для обработки почвы > Посадочные совки, вилки;1.31;
1250307;Инструменты для обработки почвы > Мотыги, тяпки, сапки;1.31;
1250309;Садовый инвентарь и освещение > Садовые пылесосы, воздуходувки;1.28;
1250311;Инструменты для обрезки > Пилы для обрезки ветвей;1.31;
1250312;Инструменты для обрезки > Садовые ножницы, секаторы, ножи;1.31;
1250313;Инструменты для обработки почвы > Грабли;1.31;
3080804;Одежда рабочая > Комбинезоны и полукомбинезоны рабочие;1.33;
3082002;Тактическая защита и экипировка > Разгрузочные жилеты и плитоноски без плит;1.21;
5090201;Телефоны и аксессуары > Стационарные телефоны;1.28;
5090319;Аксессуары для мобильных телефонов > Зарядные устройства для смартфонов и планшетов;1.35;
5090503;Беспроводная связь > Усилители антенные;1.28;
5090506;Беспроводная связь > Мосты, шлюзы беспроводных сетей;1.31;
5090509;Беспроводная связь > Wi-fi адаптеры;1.28;
5090510;Аксессуары для телевизоров и проекторов > Телевизионные антенны;1.35;
5092006;Оптоволоконное оборудование > Оптические конвертеры;1.28;
5092007;Оптоволоконное оборудование > Модули GBIC и SFP;1.19;
5092902;Пассивное сетевое оборудование > Патч-панели;1.27;
5092904;Пассивное сетевое оборудование > Коммуникационные розетки;1.28;
5092913;Монтажное оборудование > Кабеленесущие системы;1.30;
5093501;Инструмент для сетевых работ > Инструмент для заделки кабеля;1.28;
5140401;Преобразователи > Инверторы;1.25;
5280501;Батареи и аккумуляторы > Аккумуляторы общего назначения;1.27;
6370603;Спутниковое, кабельное телевидение > Ресиверы цифрового телевидения;1.35;
6370714;TV и видеотехника > Телевизоры;1.26;
6370902;TV и видеотехника > Медиаплееры;1.31;
6371204;Аудиотехника и аксессуары > Микрофоны;1.31;
6371702;Спутниковое, кабельное телевидение > Спутниковые конвертеры;1.34;
6371703;Спутниковое, кабельное телевидение > Дайсеки, усилители, телевизионные разветвители;1.32;
6371704;Спутниковое, кабельное телевидение > Спутниковые антенны;1.19;
6371808;Профессиональное аудио-, видео-, фото оборудование > Коммутаторы сигнала;1.29;
6371809;Профессиональное аудио-, видео-, фото оборудование > Приемники и передатчики сигнала;1.25;
6371818;Системы охраны и оповещения > Громкоговорители;1.31;
7081201;Инструменты для обработки почвы > Ручные культиваторы, плуги;1.31;
7190601;Пассивное сетевое оборудование > Сетевые коннекторы, модули и разъемы;1.28;
7190603;Пассивное сетевое оборудование > HUB'ы, мосты, репитеры;1.28;
7190604;Пассивное сетевое оборудование > Патч-корды;1.28;
7190605;Провод, кабель, системы соединения > Кабель для систем связи;1.24;
8210510;Уход за бытовой техникой > Средства для очистки бытовой техники;1.31;
12110205;Автоинструмент > Автомобильные насосы, компрессоры и манометры;1.31;
13040909;Геодезическое оборудование > Нивелирные рейки и вехи;1.19;
13070701;Леса и другие конструкции для ремонтно-строительных работ > Стремянки;1.29;
13070703;Леса и другие конструкции для ремонтно-строительных работ > Строительные и садовые лестницы;1.29;
13240415;Бытовая очистка воды > Бытовые фильтры комплексной очистки воды;1.29;
13560901;Ворота, ограждения, шлагбаумы и комплектующие > Аксессуары для ворот и шлагбаумов;1.25;
14172701;Электрические пилы > Ручные дисковые пилы;1.28;
14190303;Электроизоляторы > Электроизоляционные ленты и трубки;1.30;
14190406;Провод, кабель, системы соединения > Разъемы и коннекторы;1.25;
14190408;Провод, кабель, системы соединения > Силовые кабели, перемычки;1.24;
14190901;Реле > Реле напряжения;1.31;
14190906;Реле > Автоматические выключатели, УЗО;1.31;
14191103;Блоки питания > Промышленные и бытовые источники питания;1.27;
14191106;Блоки питания > Источники бесперебойного питания (ИБП);1.27;
14191107;Блоки питания > Стабилизаторы напряжения;1.27;
14200301;Ручной инструмент > Топоры;1.28;
14200305;Ручной инструмент > Молотки, кувалды, киянки;1.30;
14200306;Ручной инструмент > Строительные ножи, ножницы;1.31;
14200308;Дереворежущий инструмент > Ручные пилы, ножовки;1.31;
14200310;Ручной инструмент > Отвертки;1.31;
14200327;Ключи > Разводные ключи;1.31;
14200329;Ключи > Шестигранные ключи;1.31;
14200332;Ключи > Торцевые головки;1.31;
14200340;Губцевые инструменты > Бокорезы, кусачки;1.30;
14200341;Губцевые инструменты > Пассатижи, плоскогубцы, тонкогубцы;1.30;
14200347;Губцевые инструменты > Зажимные клещи;1.30;
14200348;Губцевые инструменты > Трубные клещи;1.30;
14200374;Ручной инструмент > Строительные карандаши, маркеры;1.26;
14200378;Ключи > Наборы ключей;1.31;
14200390;Ручной инструмент > Монтажные пинцеты;1.26;
14200394;Ручной инструмент > Мультитулы;1.31;
14200513;Пневматический инструмент > Пневматические отбойные молотки;1.19;
14200604;Строительный измерительный инструмент > Измерительные рулетки;1.31;
14200612;Датчики > Датчики влажности и температуры;1.26;
14200914;Гидравлический инструмент > Гидравлические цепные пилы;1.19;
14201002;Металлорежущий инструмент > Ручные ножницы по металлу;1.28;
14201502;Оснастка для инструмента > Ножовочные полотна;1.26;
14201506;Оснастка для инструмента > Пилки для лобзиков;1.31;
14201509;Оснастка для инструмента > Отрезные, зачистные, шлифовальные, пильные круги;1.31;
14201512;Оснастка для инструмента > Зубила, долото для перфоратора;1.30;
14201516;Оснастка для инструмента > Масла, смазки для инструмента;1.31;
14201602;Инструменты для обработки почвы > Лопаты;1.31;
14201607;Оснастка для инструмента > Сверла, буры;1.31;
14201622;Строительный измерительный инструмент > Строительные уровни;1.31;
14400803;Электроинструмент > Паяльники;1.31;
15010508;Гигиена и уход за детьми > Радионяни, видеоняни;1.31;
15040605;Светильники > Потолочные светильники;1.31;
15040606;Светильники > LED подсветка интерьеров;1.31;
15230410;Кухонные принадлежности > Кухонные ножи и подставки;1.31;
15230411;Мелкая бытовая техника для кухни > Кухонные весы;1.31;
15230433;Кухонные принадлежности > Точилки для ножей;1.31;
15370306;Электроизмерительные приборы > Мультиметры;1.31;
15370320;Радиоизмерительные приборы > Детекторы скрытой проводки;1.30;
15370706;Оптические приборы и системы > Приборы ночного видения;1.21;
15380301;Аксессуары и фурнитура для окон и дверей > Механизмы и автоматика для окон и дверей;1.28;
15380311;Аксессуары и фурнитура для окон и дверей > Доводчики дверей;1.28;
15380325;Аксессуары и фурнитура для окон и дверей > Аксессуары и комплектующие для замков;1.28;
39050503;Светильники > Точечные светильники и трек-системы;1.31;
39050509;Светильники > Настольные лампы и ночники;1.31;
1420060202;Датчики > Датчики движения;1.31;
141723;Электроинструмент > Электрические строительные миксеры;1.28;
14200358;Ручной инструмент > Ручные обжимные инструменты;1.30;
