prom_category_id;prom_category_name;rozetka_category_id;rozetka_category_name;matched_royalty_id;matched_royalty_name;match_level;brand;royalty_percent;price_from;price_to;threshold;coef_uncategorized;coef_no_base;coef_viatec;coef_secur;coef_lp;coef
;;;;;;;;;;;;1.4;1.33;;;;
513;Комплектуючі для освітлення та електрики > Подовжувачі електричні;84863;Мережеві фільтри, адаптери та подовжувачі;80256;Аксесуари для електроніки;1;;22;;;1.45;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;;17;;;1.36;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;;15;5000;14999;1.33;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;;10;15000;39999;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;;7;40000;74999;1.21;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;;5;75000;89999;1.18;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;;3;90000;999999999;1.16;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Logitech;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Sharp;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;JBL;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Harman/Kardon;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Yamaha;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Divoom;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Blaupunkt;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Bang & Olufsen;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;Jarre;10;;;1.25;;;0.9;0.9;1;
518;Аудіотехніка та аксесуари > Акустичні системи;4672533;Гучномовці;4671521;Аудіотехніка;2;DreamWave;10;;;1.25;;;0.9;0.9;1;
