Ідентифікатор_підрозділу;Назва_категорії;price_min;price_max;qty_min;qty_max
5280501;Акумулятори;0;4000;12;15
5280501;Акумулятори;4001;8000;9;12
5280501;Акумулятори;8001;12000;6;9
5280501;Акумулятори;12001;16000;3;6
5280501;Акумулятори;16001;20000;2;3
5280501;Акумулятори;20001;;1;1
14191106;ДБЖ;0;4000;12;15
14191106;ДБЖ;4001;8000;9;12
14191106;ДБЖ;8001;12000;6;9
14191106;ДБЖ;12001;16000;3;6
14191106;ДБЖ;16001;20000;2;3
14191106;ДБЖ;20001;;1;1
500901;Зарядні станції;0;15000;5;10
500901;Зарядні станції;15000;;2;5
