categoryId;offer id;article;name_ua;price;stock_quantity
1554082;2863455781;201051;Акумуляторна батарея NE-4400;3405;14
80108;2863456465;201719;Блок безперебійного живлення Full Energy BBGP-125 12В 5А;1173;15
80108;2863456466;201730;Блок безперебійного живлення Full Energy BBGP-123 12В 3А;955;14
80108;2863456467;201725;Блок безперебійного живлення Full Energy BBGP-1210 PoE 12В 10А;2512;15
80108;2863456468;201721;Блок безперебійного живлення Full Energy BBG-1210/8 12В 10А;1999;17
80108;2863456469;201734;Блок безперебійного живлення Full Energy BBG-125 12В 5А;1212;5
80108;2863456471;201742;Джерело безперебійного живлення Full Energy BBG-123 12В 3А;1015;12
80108;2863456472;201731;ДБЖ під акб 12В/7A EuroPower EP-UPS-1205(P) 13.8В/0.65А;1129;7
80108;2863456473;201746;Блок безперебійного живлення Full Energy BBG-124/1 12В 4А;897;4
80108;2863456474;201724;Блок безперебійного живлення Full Energy BBGP-125DIN 12В 5А;1212;2
80108;2863456475;201738;Блок безперебійного живлення Full Energy BBGW-123 12В 3А;1228;5
80108;2863456476;201735;Блок безперебійного живлення Full Energy BBGP-123DIN на DIN-рейку 12В 3А;897;9
80108;2863456477;201749;Джерело безперебійного живлення Kraft PSU-1205/8CH(B);1943;2
80108;2863456478;201720;Блок безперебійного живлення Full Energy BBGP-1210 12В 10А;2373;14
80108;2863456479;201729;ДБЖ під акб 12В/7A EuroPower EP-UPS-1203(P) 12В 3А;914;4
80108;2863456480;201722;Блок безперебійного живлення Full Energy BBG-125-L 12В 5А;1290;15
80108;2863456481;201727;Блок безперебійного живлення Full Energy BBGP-123W 12В 3А;1094;6
80108;2863456482;201745;Плата ДБЖ Kraft PSU-1205LED(BOARD) з кріпленням на DIN-рейку;1015;1
80108;2863456483;201747;Блок безперебійного живлення Full Energy BBG-245 24В 5А;2787;6
80108;2863456484;201732;Блок безперебійного живлення Full Energy BBGW-125 12В 5А;1645;2
80108;2863456485;201750;Плата ДБЖ Kraft PSU-1208LED(BOARD) з кріпленням на DIN-рейку;1662;3
80108;2863456486;202086;Блок безперебійного живлення Full Energy BBG-124/4 12В 4А;937;1
80108;2863456487;201739;Блок безперебійного живлення Full Energy BBGP-125W 12В 5А;1369;2
80108;2863456528;201788;Блок живлення U-PROX PSU60W 14В 2.8А M0 kit з функцією UPS;2187;15
80108;2863456564;201818;Блок живлення TIRAS Technologies 1215 12В 1.5А;5080;2
1554082;2863456697;202160;Свинцево-кислотна акумуляторна батарея Ritar RT12180 18А•г 12В;1468;12
1554082;2863456698;204698;Свинцево-кислотна акумуляторна батарея Ritar RT1290 9А•г 12В;759;13
1554082;2863456699;201831;Акумуляторна батарея Ritar RT1223(12V2.3AH);436;12
1554082;2863456701;202208;Свинцево-кислотна акумуляторна батарея Full Energy FEP-127 7А•г 12В;651;1
1554082;2863456702;201844;Свинцево-кислотна акумуляторна батарея Full Energy FEL-1220 20А•г 12В гелева;2140;14
1554082;2863456703;201832;Свинцево-кислотна акумуляторна батарея Full Energy FEP-1218 18 А•г 12В;1718;13
1554082;2863456704;202158;Свинцево-кислотна акумуляторна батарея Ultracell UL2.4-12 2.4А•г 12В;545;17
1554082;2863456705;202092;Свинцево-кислотна акумуляторна батарея Full Energy FEP-122 2.2А•г 12В;471;17
