keyword;theme;schedule;google_cat_id;google_cat_hint;notes
Дім і сад > сучасний будинок > Аксесуари для домофонного обладнання;access;day;5404;Electronics > Communications > Intercom Accessories;auto
Дім і сад > сучасний будинок > кодонабірні клавіатури;access;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > турнікети;access;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > системи охорони та оповіщення > тривожні кнопки і кнопки виходу;access;day;365;Home & Garden > Business & Home Security > Security System Sensors;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > аксесуари та комплектуючі для замків;access;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > доводчики дверей;access_closers;day;6446;Hardware > Building Materials > Door Hardware > Door Closers;auto
безпека та захист > засоби і системи СККД > контролери СККД;access_controllers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > ідентифікатори;access_identifiers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
Дім і сад > сучасний будинок > домофони;access_intercom;night;360;Electronics > Communications > Intercoms;auto
матеріали для ремонту > аксесуари та фурнітура для вікон і дверей > замки та клямки > Замки;access_locks;day;503730;Hardware > Locks & Keys > Locks & Latches;auto
безпека та захист > засоби і системи СККД > зчитувачі;access_readers;day;1870;Hardware > Locks & Keys > Key Card Entry Systems;auto
безпека та захист > засоби і системи СККД > системи СКВД;access_systems;day;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
"авто-, мото > аксесуари для авто > засоби аварійної безпеки > проблискові маячки, спецсигнали та сирени";alarm;night;3318;Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Lighting;auto
"безпека та захист > обладнання електронне, прилади захисту й безпеки > системи захисту від потопу";alarm;day;1306;"Home & Garden > Flood, Fire & Gas Safety > Water & Flood Detectors";auto
"безпека та захист > системи охорони та оповіщення > брелоки, пульти для охоронних систем";alarm;night;365;Home & Garden > Business & Home Security > Security System Sensors;auto
безпека та захист > системи охорони та оповіщення > гучномовці;alarm;day;249;Electronics > Audio > Audio Components > Speakers;auto
безпека та захист > системи охорони та оповіщення > короби та корпуси для охоронних систем;alarm;day;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
безпека та захист > системи охорони та оповіщення > охоронні сповіщувачі;alarm;night;365;Home & Garden > Business & Home Security > Security System Sensors;auto
безпека та захист > системи і засоби пожежної безпеки > пожежна автоматика > модулі контролю та управління;alarm;day;7226;"Home & Garden > Flood, Fire & Gas Safety > Fire Alarm Control Panels";auto
безпека та захист > системи і засоби пожежної безпеки > пожежна автоматика > пожежні сповіщувачі;alarm;day;1471;"Home & Garden > Flood, Fire & Gas Safety > Smoke & Carbon Monoxide Detectors > Smoke Detectors";auto
контрольно-вимірювальні прилади > датчики > датчики руху;alarm;night;2161;Home & Garden > Business & Home Security > Motion Sensors;auto
Дім і сад > сучасний будинок > охоронні системи та сигналізації;alarm_systems;night;3873;Home & Garden > Business & Home Security > Home Alarm Systems;auto
безпека та захист > системи охорони та оповіщення > приймально-контрольні прилади і прилади управління;alarm_systems;night;7226;"Home & Garden > Flood, Fire & Gas Safety > Fire Alarm Control Panels";auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > роз'єми та конектори";cable;day;503729;Hardware > Power & Electrical Supplies > Wire Terminals & Connectors;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > силові кабелі, перемички";cable;day;2345;Hardware > Power & Electrical Supplies > Electrical Wires & Cable;auto
електрообладнання > монтажне обладнання > електроізолятори > Електроізоляційні стрічки та трубки;cable;day;2212;Hardware > Building Consumables > Hardware Tape;auto
електрообладнання > монтажне обладнання > кабеленесучі системи;cable;day;499769;Hardware > Power & Electrical Supplies > Conduit & Housings > Electrical Conduit;auto
техніка та електроніка > TV та відеотехніка > аксесуари для телевізорів та проекторів > кабелі для електроніки;cable;day;1867;Electronics > Electronics Accessories > Cables > Audio & Video Cables;auto
електрообладнання > монтажне обладнання > монтажні шафи;cable_box;day;5832;Business & Industrial > Industrial Storage > Industrial Cabinets;auto
"електрообладнання > монтажне обладнання > дріт, кабель, системи з'єднання > кабель для систем зв'язку";cable_systems;day;1480;Electronics > Electronics Accessories > Cables > Network Cables;auto
Воєнторг > оптичні прилади і системи > Тактичні тепловізори;components;day;6799;Hardware > Tools > Measuring Tools & Sensors > Thermal Imaging Cameras;auto
Дім і сад > догляд за будинком > догляд за побутовою технікою > засоби для очищення побутової техніки;components;day;4973;Home & Garden > Household Supplies > Household Cleaning Supplies > Household Cleaning Products;auto
безпека та захист > технічні засоби відеоспостереження > комплектуючі для систем відеоспостереження > кожухи і кронштейни;components;day;5937;Cameras & Optics > Camera & Optic Accessories > Camera Parts & Accessories > Surveillance Camera Accessories;auto
контрольно-вимірювальні прилади > електровимірювальні прилади > мультиметри;components;day;503737;Hardware > Tools > Measuring Tools & Sensors > Electrical Testing Tools;auto
"контрольно-вимірювальні прилади > прилади вимірювання, регулювання температури > термометри, пірометри, тепловізори";components;day;4506;Hardware > Tools > Measuring Tools & Sensors > Infrared Thermometers;auto
"контрольно-вимірювальні прилади > радіовимірювальні прилади > металошукачі, металодетектори";components;day;361;Business & Industrial > Law Enforcement > Metal Detectors;auto
матеріали для ремонту > герметики і монтажна піна > герметики і силікони;components;day;503744;Hardware > Building Consumables > Protective Coatings & Sealants;auto
матеріали для ремонту > скріплювальні вироби > кронштейни;components;day;7092;Hardware > Hardware Accessories > Brackets & Reinforcement Braces;auto
техніка та електроніка > аудіотехніка та аксесуари > мікрофони;components;day;234;Electronics > Audio > Audio Components > Microphones;auto
техніка та електроніка > побутова техніка > дрібна побутова техніка для кухні > кухонні ваги;components;day;1698;Hardware > Tools > Measuring Tools & Sensors > Measuring Scales;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > Запчастини та комплектуючі для квадрокоптерів";drone;day;3977;Vehicles & Parts > Vehicle Parts & Accessories > Aircraft Parts & Accessories;auto
"техніка та електроніка > фото-, відеокамери та аксесуари > Квадрокоптери";drone;day;3395;Vehicles & Parts > Vehicles > Aircraft;auto
"електрообладнання > компоненти АСУТП > реле > автоматичні вимикачі, ПЗВ";energy;day;6807;Hardware > Power & Electrical Supplies > Circuit Breaker Panels;auto
електрообладнання > компоненти АСУТП > реле > реле напруги;energy;day;499932;Hardware > Power & Electrical Supplies > Electrical Switches > Specialty Electrical Switches & Relays;auto
електрообладнання > обладнання для електропостачання > щитове обладнання;energy;day;6807;Hardware > Power & Electrical Supplies > Circuit Breaker Panels;auto
"електрообладнання > освітлення, електрика > LED освітлення";energy;day;3329;Home & Garden > Lighting > Light Bulbs > LED Light Bulbs;auto
"електрообладнання > освітлення, електрика > вуличне освітлення";energy;day;1546;Home & Garden > Lighting > Flood & Spot Lights;auto
"електрообладнання > освітлення, електрика > комплектуючі для освітлення та електрики > електричні подовжувачі";energy;day;4789;Hardware > Power & Electrical Supplies > Extension Cords;auto
матеріали для ремонту > електрика > настінні вимикачі;energy;day;1935;Hardware > Power & Electrical Supplies > Electrical Switches > Light Switches;auto
матеріали для ремонту > електрика > розетки електричні;energy;day;1869;Hardware > Power & Electrical Supplies > Power Outlets & Sockets;auto
матеріали для ремонту > електрика > силові вилки та розетки;energy;day;1869;Hardware > Power & Electrical Supplies > Power Outlets & Sockets;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > Планшети;it;day;4745;Electronics > Computers > Tablet Computers;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > комп'ютерні аксесуари > Комп'ютерні клавіатури;it;day;303;Electronics > Electronics Accessories > Computer Components > Input Devices > Keyboards;auto
"техніка та електроніка > комп'ютерна техніка та ПЗ > комплектуючі для комп'ютерної техніки > внутрішні та зовнішні жорсткі диски, HDD, SSD";it;day;380;Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > монітори;it;day;305;Electronics > Video > Computer Monitors;auto
техніка та електроніка > комп'ютерна техніка та ПЗ > носії інформації > карти пам'яті;it;day;3387;Electronics > Electronics Accessories > Memory > Flash Memory > Flash Memory Cards;auto
Воєнторг > Засоби зв'язку і позиціонування > переговорні пристрої;military;day;273;Electronics > Communications > Communication Radios > Two-Way Radios;auto
Воєнторг > Тактичний захист та екіпірування > Армійські спецсумки і рюкзаки;military;day;100;Luggage & Bags > Backpacks;auto
Воєнторг > Тактичний захист та екіпірування > розвантажувальні жилети та плитоноски без плит;military;day;2389;Business & Industrial > Work Safety Protective Gear > Bullet Proof Vests;auto
Воєнторг > оптичні прилади і системи > прилади нічного бачення;military;day;156;Cameras & Optics > Optics;auto
Воєнторг > оптичні прилади і системи > приціли і мушки;military;day;1695;Cameras & Optics > Optics > Scopes > Weapon Scopes & Sights;auto
"обладнання та товари для надання послуг > професійне аудіо-, відео-, фото обладнання > приймачі і передавачі сигналу";network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > активне мережеве обладнання > обладнання для живлення по ethernet;network;day;6508;Electronics > Networking > Power Over Ethernet Adapters;auto
"телекомунікації та зв'язок > пасивне мережеве обладнання > HUB'и, мости, репітери";network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > комунікаційні розетки;network;day;2028;Hardware > Power & Electrical Supplies > Phone & Data Jacks;auto
"телекомунікації та зв'язок > пасивне мережеве обладнання > мережеві конектори, модулі та роз'єми";network;day;290;Electronics > Networking > Network Cards & Adapters;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > оптоволоконне обладнання > модулі GBIC та SFP;network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > оптоволоконне обладнання > оптичні конвертери;network;day;2121;Electronics > Networking > Repeaters & Transceivers;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > патч-корди;network;day;1480;Electronics > Electronics Accessories > Cables > Network Cables;auto
телекомунікації та зв'язок > пасивне мережеве обладнання > патч-панелі;network;day;5273;Electronics > Electronics Accessories > Cable Management > Patch Panels;auto
телекомунікації та зв'язок > серверне обладнання > аксесуари та комплектуючі для серверного обладнання;network;day;331;Electronics > Computers > Computer Servers;auto
