№;Линк категории поставщика;channel;prefix;coef_retail;coef_dealer;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
1;;site;;;;;;delete;;;;;;;;739;Уцінка;;;
2;;prom;;;;;;delete;;;;;;;;739;Уцінка;;;
3;https://secur.ua/ajax/startovye-komplekty/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;S;;Вага;г;;50;457;Бездротові GSM сигналізації;Тип устройства;;Бездротові GSM сигналізації
4;https://secur.ua/ajax/startovye-komplekty/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;"S, Sprom, noindex";;Вага;г;;50;457;Бездротові GSM сигналізації;Тип устройства;;Бездротові GSM сигналізації
5;https://secur.ua/ajax/centrali-haby/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;S;;Вага;г;;50;459;Бездротові централі;Тип устройства;;Бездротові централі
6;https://secur.ua/ajax/centrali-haby/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;"S, Sprom, noindex";;Вага;г;;50;459;Бездротові централі;Тип устройства;;Бездротові централі
7;https://secur.ua/ajax/zaxist-vid-vtorgnennia/retransljatory/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;7190603;https://prom.ua/Setevye-kontsentratory;S;;Вага;г;;50;492;Підсилювачі GSM сигналу;Тип устройства;;Підсилювачі GSM сигналу
8;https://secur.ua/ajax/zaxist-vid-vtorgnennia/retransljatory/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;7190603;https://prom.ua/Setevye-kontsentratory;"S, Sprom, noindex";;Вага;г;;50;492;Підсилювачі GSM сигналу;Тип устройства;;Підсилювачі GSM сигналу
9;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/moduli-integracii-ajax/status=1;model-transmitter=vhfbridge-14946";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300934;https://prom.ua/Moduli-kontrolya-i-upravleniya;S;;Вага;г;;50;393;Модулі інтеграції;Тип устройства;;Модулі інтеграції
10;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/moduli-integracii-ajax/status=1;model-transmitter=vhfbridge-14946";prom;prom_;"0,99";"1,3";148391021;Ajax;300934;https://prom.ua/Moduli-kontrolya-i-upravleniya;"S, Sprom, noindex";;Вага;г;;50;393;Модулі інтеграції;Тип устройства;;Модулі інтеграції
11;"https://secur.ua/signalizatsii/priemniki-usiliteli-kommunikatory/priemniki-radioperedatchikov/status=1;brand=ajax";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300934;https://prom.ua/Moduli-kontrolya-i-upravleniya;S;;Вага;г;;50;494;Приймачі радіодатчиків;Тип устройства;;Приймачі радіодатчиків
12;"https://secur.ua/signalizatsii/priemniki-usiliteli-kommunikatory/priemniki-radioperedatchikov/status=1;brand=ajax";prom;prom_;"0,99";"1,3";148391021;Ajax;300934;https://prom.ua/Moduli-kontrolya-i-upravleniya;"S, Sprom, noindex";;Вага;г;;50;494;Приймачі радіодатчиків;Тип устройства;;Приймачі радіодатчиків
13;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-dvizhenija/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;1420060202;https://prom.ua/Datchiki-dvizheniya;S;;Вага;г;;50;472;Датчики руху;Тип устройства;;Датчики руху
14;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-dvizhenija/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;1420060202;https://prom.ua/Datchiki-dvizheniya;"S, Sprom, noindex";;Вага;г;;50;472;Датчики руху;Тип устройства;;Датчики руху
15;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-otkrytija/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302302;https://prom.ua/Ohrannye-izveschateli;S;;Вага;г;;50;476;Датчик відкриття дверей/вікон (геркон);Тип устройства;;Датчик відкриття дверей/вікон (геркон)
16;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-otkrytija/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302302;https://prom.ua/Ohrannye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;476;Датчик відкриття дверей/вікон (геркон);Тип устройства;;Датчик відкриття дверей/вікон (геркон)
17;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-otkrytija/status=1;type-dat-otk=superior-doorprotect-g3-fibra";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302302;https://prom.ua/Ohrannye-izveschateli;S;;Вага;г;;50;384;Датчик відкриття;Тип устройства;;Датчик відкриття
18;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-otkrytija/status=1;type-dat-otk=superior-doorprotect-g3-fibra";prom;prom_;"0,99";"1,3";148391021;Ajax;302302;https://prom.ua/Ohrannye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;384;Датчик відкриття;Тип устройства;;Датчик відкриття
19;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-razbitija-stekla/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302302;https://prom.ua/Ohrannye-izveschateli;S;;Вага;г;;50;475;Датчики розбиття;Тип устройства;;Датчики розбиття
20;https://secur.ua/ajax/zaxist-vid-vtorgnennia/datchiki-razbitija-stekla/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302302;https://prom.ua/Ohrannye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;475;Датчики розбиття;Тип устройства;;Датчики розбиття
21;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/sireny/status=1;instalation-syrene=zovni-useredini-primishhen-13960";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300402;https://prom.ua/Sireny-signalnye;S;;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні сирени
22;"https://secur.ua/ajax/zaxist-vid-vtorgnennia/sireny/status=1;instalation-syrene=zovni-useredini-primishhen-13960";prom;prom_;"0,99";"1,3";148391021;Ajax;300402;https://prom.ua/Sireny-signalnye;"S, Sprom, noindex";;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні сирени
