№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
1;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;Бездротові GSM сигналізації;"охранная система ajax, сигнализация ajax, беспроводная сигнализация ajax, система безопасности ajax, охранная сигнализация аякс, gsm сигнализация ajax, комплект сигнализации ajax, умная сигнализация ajax";"охоронна система ajax, сигналізація ajax, бездротова сигналізація ajax, система безпеки ajax, охоронна сигналізація аякс, gsm сигналізація ajax, комплект сигналізації ajax, розумна сигналізація ajax";сигнализация;сигналізація;"Виробник, Тип устройства"
2;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;Бездротові централі;"хаб ajax, централь ajax, беспроводной хаб ajax, центр управления ajax, панель управления ajax, контрольная панель ajax, охранный хаб аякс, ajax hub";"хаб ajax, централь ajax, бездротовий хаб ajax, центр керування ajax, панель керування ajax, контрольна панель ajax, охоронний хаб аякс, ajax hub";хаб;хаб;"Виробник, Тип устройства"
3;7190603;https://prom.ua/Setevye-kontsentratory;Підсилювачі GSM сигналу;"ретранслятор рекс ajax, беспроводной ретранслятор rex ajax, усилитель сигнала ajax, расширение связи ajax, ретранслятор сигнализации ajax, ajax range extender, ретранслятор сети ajax, усилитель ajax";"ретранслятор рекс ajax, бездротовий ретранслятор rex ajax, підсилювач сигналу ajax, розширення зв’язку ajax, ретранслятор сигналізації ajax, ajax range extender, ретранслятор мережі ajax, підсилювач ajax";усилитель;підсилювач;"Виробник, Тип устройства"
4;300934;https://prom.ua/Moduli-kontrolya-i-upravleniya;Модулі інтеграції;"модуль интеграции ajax, модуль управления ajax, беспроводной модуль ajax, модуль подключения ajax, интеграционный модуль аякс, ajax module, модуль автоматики ajax, модуль контроля ajax";"модуль інтеграції ajax, модуль керування ajax, бездротовий модуль ajax, модуль підключення ajax, інтеграційний модуль аякс, ajax module, модуль автоматики ajax, модуль контролю ajax";модуль;модуль;"Виробник, Тип устройства"
5;300934;https://prom.ua/Moduli-kontrolya-i-upravleniya;Приймачі радіодатчиків;"приемник радиодатчиков ajax, приемник радиодатчиков аякс, радиоприемник сигнализации ajax, приемник охранной системы ajax, модуль приема датчиков ajax, радиоканал сигнализации ajax, приемник беспроводных датчиков ajax, блок приема сигналов ajax, радиоприемник ajax, модуль связи сигнализации ajax";"приймач радіодатчиків ajax, приймач радіодатчиків аякс, радіоприймач сигналізації ajax, приймач охоронної системи ajax, модуль прийому датчиків ajax, радіоканал сигналізації ajax, приймач бездротових датчиків ajax, блок прийому сигналів ajax, радіоприймач ajax, модуль зв’язку сигналізації ajax";приемник радиодатчиков;приймач радіодатчиків;"Виробник, Тип устройства"
6;1420060202;https://prom.ua/Datchiki-dvizheniya;Датчики руху;"датчик движения ajax, беспроводной датчик движения ajax, охранный датчик движения ajax, motion sensor ajax, датчик движения аякс, датчик охраны ajax, система движения ajax, датчик безопасности ajax";"датчик руху ajax, бездротовий датчик руху ajax, охоронний датчик руху ajax, motion sensor ajax, датчик руху аякс, датчик охорони ajax, система руху ajax, датчик безпеки ajax";датчик движения;датчик руху;"Виробник, Тип устройства"
7;302302;https://prom.ua/Ohrannye-izveschateli;Датчик відкриття дверей/вікон (геркон);"датчик открытия ajax, датчик разбития стекла ajax, беспроводной охранный датчик ajax, охранный извещатель ajax, датчик вторжения ajax, security sensor ajax, датчик сигнализации ajax, охранный датчик аякс";"датчик відкриття ajax, датчик розбиття скла ajax, бездротовий охоронний датчик ajax, охоронний сповіщувач ajax, датчик вторгнення ajax, security sensor ajax, датчик сигналізації ajax, охоронний датчик аякс";датчик;датчик;"Виробник, Тип устройства"
8;302302;https://prom.ua/Ohrannye-izveschateli;Датчик відкриття;"датчик открытия ajax, датчик разбития стекла ajax, беспроводной охранный датчик ajax, охранный извещатель ajax, датчик вторжения ajax, security sensor ajax, датчик сигнализации ajax, охранный датчик аякс";"датчик відкриття ajax, датчик розбиття скла ajax, бездротовий охоронний датчик ajax, охоронний сповіщувач ajax, датчик вторгнення ajax, security sensor ajax, датчик сигналізації ajax, охоронний датчик аякс";датчик;датчик;"Виробник, Тип устройства"
9;302302;https://prom.ua/Ohrannye-izveschateli;Датчики розбиття;"датчик разбития стекла ajax, датчик разбития стекла аякс, извещатель разбития ajax, датчик стекла сигнализации ajax, сенсор разбития окна ajax, акустический датчик стекла ajax, охранный датчик стекла ajax, детектор разбития стекла ajax, датчик тревоги стекла ajax, датчик разбития окна ajax";"датчик розбиття скла ajax, датчик розбиття скла аякс, сповіщувач розбиття ajax, датчик скла сигналізації ajax, сенсор розбиття вікна ajax, акустичний датчик скла ajax, охоронний датчик скла ajax, детектор розбиття скла ajax, датчик тривоги скла ajax, датчик розбиття вікна ajax";датчик разбития стекла;датчик розбиття скла;"Виробник, Тип устройства"
10;300402;https://prom.ua/Sireny-signalnye;Вуличні сирени;"сирена ajax, сигнальная сирена ajax, беспроводная сирена ajax, охранная сирена ajax, звуковая сирена ajax, оповещатель ajax, сирена сигнализации ajax, siren ajax";"сирена ajax, сигнальна сирена ajax, бездротова сирена ajax, охоронна сирена ajax, звукова сирена ajax, оповіщувач ajax, сирена сигналізації ajax, siren ajax";сирена;сирена;"Виробник, Тип устройства"
11;300402;https://prom.ua/Sireny-signalnye;Кімнатні сирени;"комнатная сирена ajax, комнатная сирена аякс, внутренняя сирена сигнализации ajax, звуковая сирена для дома ajax, сирена тревоги ajax, охранная сирена ajax, сирена для квартиры ajax, сигнализация сирена ajax, звуковой оповещатель ajax, сирена сигнализации ajax";"кімнатна сирена ajax, кімнатна сирена аякс, внутрішня сирена сигналізації ajax, звукова сирена для дому ajax, сирена тривоги ajax, охоронна сирена ajax, сирена для квартири ajax, сигналізація сирена ajax, звуковий оповіщувач ajax, сирена сигналізації ajax";комнатная сирена;кімнатна сирена;"Виробник, Тип устройства"
12;302308;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;Кнопка тривожної сигналізації;"тревожная кнопка ajax, беспроводная тревожная кнопка ajax, panic button ajax, кнопка тревоги аякс, кнопка сигнализации ajax, охранная кнопка ajax, тревожная кнопка безопасности ajax, ajax button";"тривожна кнопка ajax, бездротова тривожна кнопка ajax, panic button ajax, кнопка тривоги аякс, кнопка сигналізації ajax, охоронна кнопка ajax, тривожна кнопка безпеки ajax, ajax button";тревожная кнопка;тривожна кнопка;"Виробник, Тип устройства"
13;301310;https://prom.ua/Identifikatory;Карта доступу;"карта доступа ajax, rfid карта ajax, идентификатор ajax, карта безопасности ajax, бесконтактная карта ajax, access card ajax, карта системы ajax, карта аякс";"картка доступу ajax, rfid картка ajax, ідентифікатор ajax, картка безпеки ajax, безконтактна картка ajax, access card ajax, картка системи ajax, картка аякс";карта доступа;картка доступу;"Виробник, Тип устройства"
