№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
1;153504;https://prom.ua/Datchiki-dlya-umnogo;Устройство для дома;"датчик умный дом, датчик для автоматизации, датчик iot, беспроводной датчик, wifi датчик";"датчик розумний будинок, датчик для автоматизації, датчик iot, бездротовий датчик, wifi датчик";датчик;датчик;"Виробник, Тип устройства"
2;270207;https://prom.ua/Drugie-zootovary;Устройство для животных;"миска для животных, поилка для животных, автоматическая поилка для кошек и собак, кормушка для животных, лежанка для животных, лежак для кошек и собак, домик для животных, осушитель воздуха для животных, товары для ухода за животными, аксессуары для животных";"миска для тварин, поїлка для тварин, автоматична поїлка для котів і собак, годівниця для тварин, лежанка для тварин, лежак для котів і собак, будиночок для тварин, осушувач повітря для тварин, товари для догляду за тваринами, аксесуари для тварин";устройство;пристрій;"Виробник, Тип устройства"
3;301105;https://prom.ua/Kamery-videonablyudeniya;Відеокамера спостереження;"камера видеонаблюдения, видеокамера видеонаблюдения, камера безопасности, видеонаблюдение, видеокамера слежения";"камера відеоспостереження, відеокамера відеоспостереження, камера безпеки, відеоспостереження, відеокамера стеження";видеокамера;відеокамера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
4;301105;https://prom.ua/Kamery-videonablyudeniya;PTZ-камери;"ptz камера, поворотная камера, скоростная купольная камера, ip ptz камера, камера с зумом, поворотная ip камера, камера видеонаблюдения ptz, купольная ptz камера";"ptz камера, поворотна камера, швидкісна купольна камера, ip ptz камера, камера з зумом, поворотна ip камера, камера відеоспостереження ptz, купольна ptz камера";ptz камера;ptz камера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
5;301105;https://prom.ua/Kamery-videonablyudeniya;Тепловізійні  камери;"тепловизионная камера, тепловизор камера, инфракрасная тепловизионная камера, ip тепловизионная камера, камера ночного видения тепловизионная, тепловизионное видеонаблюдение, камера с тепловизором, тепловизор для наблюдения";"тепловізійна камера, тепловізор камера, інфрачервона тепловізійна камера, ip тепловізійна камера, камера нічного бачення тепловізійна, тепловізійне відеоспостереження, камера з тепловізором, тепловізор для спостереження";тепловизионная камера;тепловізійна камера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
6;301105;https://prom.ua/Kamery-videonablyudeniya;Тепловізійні  PTZ-камери;"ptz тепловизионная камера, поворотная тепловизионная камера, тепловизионная ptz камера, ip ptz тепловизор, купольная тепловизионная ptz камера, камера с тепловизором ptz, тепловизионное видеонаблюдение ptz, поворотный тепловизор";"ptz тепловізійна камера, поворотна тепловізійна камера, тепловізійна ptz камера, ip ptz тепловізор, купольна тепловізійна ptz камера, камера з тепловізором ptz, тепловізійне відеоспостереження ptz, поворотний тепловізор";ptz тепловизионная камера;ptz тепловізійна камера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
7;301105;https://prom.ua/Kamery-videonablyudeniya;Відеоконтроль трафіку;"камера контроля трафика, камера распознавания номеров, камера фиксации скорости, ip камера для дороги, видеоконтроль транспорта, камера дорожного наблюдения, система контроля трафика, камера для авто потока";"камера контролю трафіку, камера розпізнавання номерів, камера фіксації швидкості, ip камера для дороги, відеоконтроль транспорту, камера дорожнього спостереження, система контролю трафіку, камера для автопотоку";камера контроля трафика;камера контролю трафіку;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
8;301105;https://prom.ua/Kamery-videonablyudeniya;Портативні камери;"портативная камера, носимая камера видеонаблюдения, мини камера наблюдения, компактная камера безопасности, переносная видеокамера, body камера, карманная камера, мобильная камера наблюдения";"портативна камера, носима камера відеоспостереження, міні камера спостереження, компактна камера безпеки, переносна відеокамера, body камера, кишенькова камера, мобільна камера спостереження";портативная камера;портативна камера;"Виробник, Тип устройства, Роздільна здатність (Мп), Тип камери, Фокусна відстань, Кут огляду по горизонталі, Вбудований мікрофон, Наявність ІЧ-підсвічування, Порт для SD-карти, Бездротовий інтерфейс, Захист обладнання від води і пилу IP, Кодек стиснення, Форм-фактор"
9;301101;https://prom.ua/Videoregistratory;Реєстратори;"видеорегистратор, регистратор видеонаблюдения,  регистратор для камер наблюдения, система видеонаблюдения";"відеореєстратор, реєстратор відеоспостереження, реєстратор для камер спостереження, система відеоспостереження";видеорегистратор;відеореєстратор;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
10;301101;https://prom.ua/Videoregistratory;Комплекти відеонагляду;"комплект видеонаблюдения, система видеонаблюдения комплект, готовый комплект камер, набор видеонаблюдения, комплект ip видеонаблюдения, комплект камер с регистратором, система безопасности комплект, комплект видеонаблюдения для дома";"комплект відеоспостереження, система відеоспостереження комплект, готовий комплект камер, набір відеоспостереження, комплект ip відеоспостереження, комплект камер з реєстратором, система безпеки комплект, комплект відеоспостереження для дому";комплект видеонаблюдения;комплект відеоспостереження;"Виробник, Тип устройства, Кількість каналів, Тип відеореєстратора, Підтримка PoE"
