№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
1;"https://viatec.ua/catalog/for-home/0:0;158:vagi-kuhnia";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;15230411;https://prom.ua/ua/Kuhonnye-vesy;V;;Тип устройства;;Ваги кухонні
2;"https://viatec.ua/catalog/for-home/0:0;158:vagi-kuhnia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15230411;https://prom.ua/ua/Kuhonnye-vesy;V, Vmin, noindex;;Тип устройства;;Ваги кухонні
3;"https://viatec.ua/catalog/for-home/0:0;158:hab";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;302303;https://prom.ua/ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;V;;Тип устройства;;Хаб
4;"https://viatec.ua/catalog/for-home/0:0;158:hab";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;302303;https://prom.ua/ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;V, Vmin, noindex;;Тип устройства;;Хаб
5;"https://viatec.ua/catalog/for-home/0:0;158:dimmer";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;410612;https://prom.ua/ua/Nastennye-vyklyuchateli;V;;Тип устройства;;Діммер (світлорегулятор)
6;"https://viatec.ua/catalog/for-home/0:0;158:dimmer";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;410612;https://prom.ua/ua/Nastennye-vyklyuchateli;V, Vmin, noindex;;Тип устройства;;Діммер (світлорегулятор)
7;"https://viatec.ua/catalog/for-home/0:0;158:datchik-prisutnist";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;153504;https://prom.ua/ua/Datchiki-dlya-umnogo;V;;Тип устройства;;Датчик присутності
8;"https://viatec.ua/catalog/for-home/0:0;158:datchik-prisutnist";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;153504;https://prom.ua/ua/Datchiki-dlya-umnogo;V, Vmin, noindex;;Тип устройства;;Датчик присутності
9;"https://viatec.ua/catalog/for-home/0:0;158:datchik-vodi";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;300418;https://prom.ua/ua/Sistemy-zashchity-ot-potopa;V;;Тип устройства;;Датчик витоку води
10;"https://viatec.ua/catalog/for-home/0:0;158:datchik-vodi";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;300418;https://prom.ua/ua/Sistemy-zashchity-ot-potopa;V, Vmin, noindex;;Тип устройства;;Датчик витоку води
11;"https://viatec.ua/catalog/for-home/0:0;158:datchik-dimu-hub";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;300921;https://prom.ua/ua/Pozharnye-izveschateli;V;;Тип устройства;;Датчик диму+хаб
12;"https://viatec.ua/catalog/for-home/0:0;158:datchik-dimu-hub";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;300921;https://prom.ua/ua/Pozharnye-izveschateli;V, Vmin, noindex;;Тип устройства;;Датчик диму+хаб
13;"https://viatec.ua/catalog/for-home/0:0;158:datchik-temp-vol-hab";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;14200612;https://prom.ua/ua/Datchiki-vlazhnosti-i-temperatury;V;;Тип устройства;;Датчик температура/вологість+хаб
14;"https://viatec.ua/catalog/for-home/0:0;158:datchik-temp-vol-hab";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14200612;https://prom.ua/ua/Datchiki-vlazhnosti-i-temperatury;V, Vmin, noindex;;Тип устройства;;Датчик температура/вологість+хаб
15;"https://viatec.ua/catalog/for-home/0:0;158:datchik-temp-vologist";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;14200612;https://prom.ua/ua/Datchiki-vlazhnosti-i-temperatury;V;;Тип устройства;;Датчик температура+вологість
16;"https://viatec.ua/catalog/for-home/0:0;158:datchik-temp-vologist";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14200612;https://prom.ua/ua/Datchiki-vlazhnosti-i-temperatury;V, Vmin, noindex;;Тип устройства;;Датчик температура+вологість
17;"https://viatec.ua/catalog/for-home/0:0;158:datchik-vidkritia";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;14200610;https://prom.ua/ua/Datchiki-beskontaktnye;V;;Тип устройства;;Датчик відкриття
18;"https://viatec.ua/catalog/for-home/0:0;158:datchik-vidkritia";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200610;https://prom.ua/ua/Datchiki-beskontaktnye;V, Vmin, noindex;;Тип устройства;;Датчик відкриття
19;"https://viatec.ua/catalog/for-home/0:0;158:keruvannia-garazh";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;15380301;https://prom.ua/ua/Mehanizmy-dlya-avtomaticheskih-dverej;V;;Тип устройства;;Пристрій відкриття гаражних дверей
20;"https://viatec.ua/catalog/for-home/0:0;158:keruvannia-garazh";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;15380301;https://prom.ua/ua/Mehanizmy-dlya-avtomaticheskih-dverej;V, Vmin, noindex;;Тип устройства;;Пристрій відкриття гаражних дверей
21;"https://viatec.ua/catalog/for-home/0:0;158:termo-hub";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Тип устройства;;Термостат+хаб
22;"https://viatec.ua/catalog/for-home/0:0;158:termo-hub";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V, Vmin, noindex;;Тип устройства;;Термостат+хаб
23;"https://viatec.ua/catalog/for-home/0:0;158:termostat";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Тип устройства;;Термостат для батареї
24;"https://viatec.ua/catalog/for-home/0:0;158:termostat";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V, Vmin, noindex;;Тип устройства;;Термостат для батареї
25;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-elektro";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Тип устройства;;Термостат электрической системы отопления
26;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-elektro";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V, Vmin, noindex;;Тип устройства;;Термостат электрической системы отопления
27;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-voda";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V;;Тип устройства;;Термостат водяної системи опалення
28;"https://viatec.ua/catalog/for-home/0:0;158:termostat-sistemi-voda";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;120214;https://prom.ua/ua/Sistema-ohlazhdeniya;V, Vmin, noindex;;Тип устройства;;Термостат водяної системи опалення
29;"https://viatec.ua/catalog/for-home/0:0;158:rozetka-wifi";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;53004;https://prom.ua/ua/Rozetki-elektricheskie;V;;Тип устройства;;Розетка Wi-Fi
30;"https://viatec.ua/catalog/for-home/0:0;158:rozetka-wifi";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;53004;https://prom.ua/ua/Rozetki-elektricheskie;V, Vmin, noindex;;Тип устройства;;Розетка Wi-Fi
31;"https://viatec.ua/catalog/for-home/0:0;158:podovzhuvach-wifi";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;513;https://prom.ua/ua/Udliniteli-elektricheskie;V;;Тип устройства;;Подовжувач живлення Wi-Fi
32;"https://viatec.ua/catalog/for-home/0:0;158:podovzhuvach-wifi";prom;prom_;0,85;1.32;140905382;Безопасность и комфорт;513;https://prom.ua/ua/Udliniteli-elektricheskie;V, Vmin, noindex;;Тип устройства;;Подовжувач живлення Wi-Fi
33;"https://viatec.ua/catalog/for-home/0:0;158:led-strichka-wifi";site;;0,85;1,2;22818554;Оборудование для системы Умный дом;15040606;https://prom.ua/ua/Led-podsvetka-intererov;V;;Тип устройства;;LED стрічка
34;"https://viatec.ua/catalog/for-home/0:0;158:led-strichka-wifi";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15040606;https://prom.ua/ua/Led-podsvetka-intererov;V, Vmin, noindex;;Тип устройства;;LED стрічка
