№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
1;15230411;https://prom.ua/ua/Kuhonnye-vesy;Ваги кухонні;"кухонные весы, весы для кухни, электронные весы кухонные, весы цифровые кухонные, весы для продуктов, весы бытовые кухонные, весы точные кухонные, весы для приготовления, весы компактные кухонные, весы универсальные кухонные";"ваги кухонні, ваги для кухні, електронні ваги кухонні, ваги цифрові кухонні, ваги для продуктів, ваги побутові кухонні, ваги точні кухонні, ваги для приготування, ваги компактні кухонні, ваги універсальні кухонні";кухонные весы;ваги кухонні;"Виробник, Тип устройства"
2;302303;https://prom.ua/ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;Хаб;"умный хаб, центр управления умным домом, хаб для умного дома, шлюз умного дома, контроллер умного дома, smart hub, хаб устройство, централь управления, хаб для устройств, хаб система";"розумний хаб, центр керування розумним домом, хаб для розумного дому, шлюз розумного дому, контролер розумного дому, smart hub, хаб пристрій, центр керування, хаб для пристроїв, хаб система";умный хаб;розумний хаб;"Виробник, Тип устройства"
3;410612;https://prom.ua/ua/Nastennye-vyklyuchateli;Діммер (світлорегулятор);"диммер, светорегулятор, регулятор яркости света, диммер для лампы, диммер освещения, регулятор света, диммер настенный, диммер электронный, диммер для дома, диммер управление светом";"діммер, світлорегулятор, регулятор яскравості світла, діммер для лампи, діммер освітлення, регулятор світла, діммер настінний, діммер електронний, діммер для дому, діммер керування світлом";диммер;діммер;"Виробник, Тип устройства"
4;153504;https://prom.ua/ua/Datchiki-dlya-umnogo;Датчик присутності;"датчик присутствия, сенсор движения, датчик движения, датчик присутствия человека, датчик для дома, датчик сигнализации, сенсор активности, датчик охранный, датчик умный дом, датчик безопасности";"датчик присутності, сенсор руху, датчик руху, датчик присутності людини, датчик для дому, датчик сигналізації, сенсор активності, датчик охоронний, датчик розумного дому, датчик безпеки";датчик присутствия;датчик присутності;"Виробник, Тип устройства"
5;300418;https://prom.ua/ua/Sistemy-zashchity-ot-potopa;Датчик витоку води;"датчик протечки воды, датчик утечки воды, сенсор протечки, датчик воды, датчик защиты от протечек, датчик сигнализации воды, датчик для дома вода, датчик безопасности вода, датчик умный дом вода, датчик контроля воды";"датчик витоку води, датчик протікання води, сенсор протікання, датчик води, датчик захисту від протікання, датчик сигналізації води, датчик для дому вода, датчик безпеки вода, датчик розумного дому вода, датчик контролю води";датчик протечки воды;датчик витоку води;"Виробник, Тип устройства"
6;300921;https://prom.ua/ua/Pozharnye-izveschateli;Датчик диму+хаб;"датчик дыма с хабом, датчик дыма комплект, пожарный датчик с хабом, датчик дыма умный дом, сенсор дыма с хабом, комплект пожарной сигнализации, датчик дыма система, датчик дыма централь, датчик дыма беспроводной комплект, датчик дыма сигнализация";"датчик диму з хабом, датчик диму комплект, пожежний датчик з хабом, датчик диму розумний дім, сенсор диму з хабом, комплект пожежної сигналізації, датчик диму система, датчик диму централь, датчик диму бездротовий комплект, датчик диму сигналізація";датчик дыма с хабом;датчик диму з хабом;"Виробник, Тип устройства"
7;14200612;https://prom.ua/ua/Datchiki-vlazhnosti-i-temperatury;Датчик температура/вологість+хаб;"датчик температуры и влажности с хабом, сенсор температуры и влажности комплект, датчик климата с хабом, датчик температуры комплект, датчик влажности комплект, датчик умный дом климат, датчик температуры система, датчик влажности система, климатический датчик комплект, датчик среды с хабом";"датчик температури і вологості з хабом, сенсор температури і вологості комплект, датчик клімату з хабом, датчик температури комплект, датчик вологості комплект, датчик розумного дому клімат, датчик температури система, датчик вологості система, кліматичний датчик комплект, датчик середовища з хабом";датчик температуры и влажности с хабом;датчик температури і вологості з хабом;"Виробник, Тип устройства"
8;14200612;https://prom.ua/ua/Datchiki-vlazhnosti-i-temperatury;Датчик температура+вологість;"датчик температуры и влажности, сенсор температуры и влажности, датчик климата, датчик температуры воздуха, датчик влажности воздуха, датчик умный дом климат, датчик среды, датчик комнатный климат, датчик температуры бытовой, датчик влажности бытовой";"датчик температури і вологості, сенсор температури і вологості, датчик клімату, датчик температури повітря, датчик вологості повітря, датчик розумного дому клімат, датчик середовища, датчик кімнатний клімат, датчик температури побутовий, датчик вологості побутовий";датчик температуры и влажности;датчик температури і вологості;"Виробник, Тип устройства"
9;14200610;https://prom.ua/ua/Datchiki-beskontaktnye;Датчик відкриття;"датчик открытия, датчик открытия двери, датчик открытия окна, сенсор открытия, датчик двери сигнализации, датчик окна сигнализации, датчик умный дом дверь, датчик безопасности дверь, датчик магнитный открытия, датчик контроля открытия";"датчик відкриття, датчик відкриття дверей, датчик відкриття вікна, сенсор відкриття, датчик дверей сигналізації, датчик вікна сигналізації, датчик розумного дому двері, датчик безпеки двері, датчик магнітний відкриття, датчик контролю відкриття";датчик открытия;датчик відкриття;"Виробник, Тип устройства"
10;15380301;https://prom.ua/ua/Mehanizmy-dlya-avtomaticheskih-dverej;Пристрій відкриття гаражних дверей;"устройство открытия гаражных ворот, контроллер гаражных ворот, автоматическое открытие гаража, привод гаражных ворот, управление гаражом, устройство для ворот гаража, система открытия гаража, контроллер двери гаража, устройство гараж автомат, модуль гаражных ворот";"пристрій відкриття гаражних воріт, контролер гаражних воріт, автоматичне відкриття гаража, привід гаражних воріт, керування гаражем, пристрій для воріт гаража, система відкриття гаража, контролер дверей гаража, пристрій гараж автомат, модуль гаражних воріт";устройство открытия гаражных ворот;пристрій відкриття гаражних воріт;"Виробник, Тип устройства"
