Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр;Опис;Опис_укр;Тип_товару;Ціна;Валюта;Одиниця_виміру;Мінімальний_обсяг_замовлення;Оптова_ціна;Мінімальне_замовлення_опт;Посилання_зображення;Наявність;Кількість;Номер_групи;Назва_групи;Посилання_підрозділу;Можливість_поставки;Термін_поставки;Спосіб_пакування;Спосіб_пакування_укр;Унікальний_ідентифікатор;Ідентифікатор_товару;Ідентифікатор_підрозділу;Ідентифікатор_групи;Виробник;Країна_виробник;Знижка;ID_групи_різновидів;Особисті_нотатки;Продукт_на_сайті;Термін_дії_знижки_від;Термін_дії_знижки_до;Ціна_від;Ярлик;HTML_заголовок;HTML_заголовок_укр;HTML_опис;HTML_опис_укр;Код_маркування_(GTIN);Номер_пристрою_(MPN);Вага,кг;Ширина,см;Висота,см;Довжина,см;Де_знаходиться_товар;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
203218;Анодированный профиль Photonica SMA L1240 (S-1240-CZ);Профіль анодований Photonica SMA L1240 (S-1240-CZ);S-1240-CZ, Photonica S-1240-CZ, S-1240-CZ Photonica, комплектующие солнечных панелей photonica, photonica комплектующие солнечных панелей, комплектующие солнечных панелей, аксессуары солнечных систем, элементы солнечной системы, кабели для солнечных панелей, разъемы для солнечных панелей, оборудование для солнечных систем, запчасти солнечных панелей, компоненты pv;S-1240-CZ, Photonica S-1240-CZ, S-1240-CZ Photonica, комплектуючі сонячних панелей photonica, photonica комплектуючі сонячних панелей, комплектуючі сонячних панелей, аксесуари сонячних систем, елементи сонячної системи, кабелі для сонячних панелей, роз'єми для сонячних панелей, обладнання для сонячних систем, запчастини сонячних панелей, компоненти pv;Профиль анодированный SMA L1240 (S-1240-CZ);Профіль анодований SMA L1240 (S-1240-CZ);r;16,08;USD;шт.;;;;https://images.prom.ua/7218585302_anodirovannyj-profil-photonica.jpg;+;10000;140905382;Безопасность и комфорт;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;;;;;2983777533;prom_99-00021670;101003;;Photonica;Україна;;;Vmin, V;https://oniks.org.ua/p2983777533-anodirovannyj-profil-photonica.html;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203232;Защитный коврик Kripter Ballast Fix резиновый 312х312 (2 шт);Захисний килимок Kripter Ballast Fix гумовий 312х312 (2 шт);312Х312, Ballast Fix 312Х312, 312Х312 Ballast Fix, крепление солнечных панелей ballast fix, ballast fix крепление солнечных панелей, крепление солнечных панелей, монтаж солнечных панелей, держатель панелей солнечных, крепеж солнечных модулей, система крепления pv, монтажный комплект панелей, кронштейн для солнечных панелей, крепеж для крыши солнечных панелей;312Х312, Ballast Fix 312Х312, 312Х312 Ballast Fix, кріплення сонячних панелей ballast fix, ballast fix кріплення сонячних панелей, кріплення сонячних панелей, монтаж сонячних панелей, тримач панелей сонячних, кріплення сонячних модулів, система кріплення pv, монтажний комплект панелей, кронштейн для сонячних панелей, кріплення для даху сонячних панелей;Резиновый коврик используется для установки бетонных блоков.;Гумовий килимок використовується для встановлення бетонних блоків.;r;4,31;USD;шт.;;;;https://images.prom.ua/7218585426_zaschitnyj-kovrik-kripter.jpg;+;1;140905382;Безопасность и комфорт;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;;;;;2983777547;prom_99-00024705;101003;;Ballast Fix;;;;Vmin, V;https://oniks.org.ua/p2983777547-zaschitnyj-kovrik-kripter.html;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203733;Колодка NA-UEA 3-гнізда з кнопкою;Колодка NA-UEA 3-гнізда з кнопкою;3-ГНІЗДА, UEA 3-ГНІЗДА, 3-ГНІЗДА UEA, удлинитель uea, uea удлинитель, удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники;3-ГНІЗДА, UEA 3-ГНІЗДА, 3-ГНІЗДА UEA, подовжувач uea, uea подовжувач, подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки;● Номинальный ток 16А,<br/>● С заземлением,<br/>● 3 гнезда с/з.;● Номінальний струм 16А,<br/>● Із заземленням,<br/>● 3 гнізда з/з.;r;4,08;USD;шт.;;;;https://images.prom.ua/7218585955_kolodka-na-uea-3-gnizda.jpg;+;10000;140905382;Безопасность и комфорт;https://prom.ua/Udliniteli-elektricheskie;;;;;2983777973;prom_99-00018326;513;;UEA;Китай;;;Vmin, V;https://oniks.org.ua/p2983777973-kolodka-uea-gnizda.html;;;-;;;;;;;;0.120;4.5;4.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201290;Кнопка выхода PBK-810A;Кнопка виходу PBK-810A;-810A, PBK -810A, -810A PBK, кнопка выхода pbk, pbk кнопка выхода, кнопка выхода контактная, кнопка выхода механическая, кнопка выхода для двери, кнопка открытия двери, кнопка выхода накладная, кнопка выхода система доступа, кнопка управления дверью, кнопка выхода проводная;-810A, PBK -810A, -810A PBK, кнопка виходу pbk, pbk кнопка виходу, кнопка виходу контактна, кнопка виходу механічна, кнопка виходу для дверей, кнопка відкриття дверей, кнопка виходу накладна, кнопка виходу система доступу, кнопка керування дверима, кнопка виходу провідна;Кнопка выхода, врезная, NO/NC/COM, нержавейка, макс.напряжение и ток коммутации 36В/3A, ресурс 500000 срабатываний, 90х35х20мм;Кнопка виходу, врізна, NO / NC / COM, нержавіюча, макс.напруга і ток комутації 36В / 3A, ресурс 500000 спрацьовувань, 90х35х20мм;r;7,37;USD;шт.;;;;https://images.prom.ua/6750368516_knopka-vyhoda-pbk-810a.jpg;+;2;127628170;Кнопки выхода;https://prom.ua/Trevozhnye-knopki-i-knopki-vyhoda;;;;;2893798931;99-00005927;302308;;PBK;Китай;;;V;https://oniks.org.ua/p2893798931-knopka-vyhoda-pbk.html;;;-;;;;;;;;0.300;9.0;3.5;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204060;Портативный фильтр для воды LifeSaver Wayfarer;Портативний фільтр для води LifeSaver Wayfarer;Портативный Wayfarer, LifeSaver Портативный Wayfarer, Портативный Wayfarer LifeSaver, очиститель воды lifesaver, lifesaver очиститель воды, очиститель воды, фильтр для воды, система очистки воды, фильтр питьевой воды, фильтр под мойку, очистка воды бытовая, фильтр воды система, очиститель воды домашний;Портативний Wayfarer, LifeSaver Портативний Wayfarer, Портативний Wayfarer LifeSaver, очищувач води lifesaver, lifesaver очищувач води, очищувач води, фільтр для води, система очищення води, фільтр питної води, фільтр під мийку, очищення води побутове, фільтр води система, очищувач води домашній;LifeSaver Wayfarer — это микробиологический фильтр для воды, использующий технологию ультрафильтрации для фильтрации вирусов, бактерий, цист и паразитов из загрязненных источников воды. Технология LifeSaver отфильтровывает бактерии до минимума Log 6 (99,9999%), вирусы до минимума Log 5 (99,999%) и цисты до минимума Log 4 (99,99%), как указано в Протоколе NSF 231, на основе рекомендаций Агентство по охране окружающей среды США (EPA).;LifeSaver Wayfarer – це мікробіологічний фільтр для води, що використовує технологію ультрафільтрації для фільтрації вірусів, бактерій, цист та паразитів із забруднених джерел води. Технологія LifeSaver відфільтровує бактерії до мінімуму Log 6 (99,9999%), віруси до мінімуму Log 5 (99,999%) та цисти до мінімуму Log 4 (99,99%), як зазначено в Протоколі NSF 231, на основі рекомендацій Агентство з охорони довкілля США (EPA).;r;78,72;USD;шт.;;;;https://images.prom.ua/7218584836_portativnyj-filtr-dlya.jpg, https://images.prom.ua/7218584837_portativnyj-filtr-dlya.jpg, https://images.prom.ua/7218584838_portativnyj-filtr-dlya.jpg, https://images.prom.ua/7218584839_portativnyj-filtr-dlya.jpg, https://images.prom.ua/7218584840_portativnyj-filtr-dlya.jpg;+;10000;140905382;Безопасность и комфорт;https://prom.ua/Bytovye-filtry-kompleksnoj-ochistki-vody;;;;;2983778262;prom_99-00013552;13240415;;LifeSaver;Великобританія;;;Vmin, V;https://oniks.org.ua/p2983778262-portativnyj-filtr-dlya.html;;;-;;;;;;;;0.560;17.0;10.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203715;Удлинитель NA-UEA 4-гнізда 3 м;Подовжувач NA-UEA 4-гнізда 3 м;4-ГНІЗДА, UEA 4-ГНІЗДА, 4-ГНІЗДА UEA, удлинитель uea, uea удлинитель, удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники;4-ГНІЗДА, UEA 4-ГНІЗДА, 4-ГНІЗДА UEA, подовжувач uea, uea подовжувач, подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки;● Удлинитель с заземлением,<br/>● Длина 3 м,<br/>● 4 гнезда с/з.;● Подовжувач із заземленням,<br/>● Довжина 3 м,<br/>● 4 гнізда з/з.;r;7,46;USD;шт.;;;;https://images.prom.ua/7218585714_udlinitel-na-uea-4-gnizda.jpg;+;3;152196244;Вилки, колодки, удлинители;https://prom.ua/Udliniteli-elektricheskie;;;;;2983439741;99-00018332;513;;UEA;Китай;;;V;https://oniks.org.ua/p2983439741-udlinitel-uea-gnizda.html;;;-;;;;;;;;0.400;10.0;4.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203223;Болты шестигранные Photonica М10х300 А2 (DW-10-300);Болти шестигранні Photonica М10х300 А2 (DW-10-300);DW-10-300, Photonica DW-10-300, DW-10-300 Photonica, комплектующие солнечных панелей photonica, photonica комплектующие солнечных панелей, комплектующие солнечных панелей, аксессуары солнечных систем, элементы солнечной системы, кабели для солнечных панелей, разъемы для солнечных панелей, оборудование для солнечных систем, запчасти солнечных панелей, компоненты pv;DW-10-300, Photonica DW-10-300, DW-10-300 Photonica, комплектуючі сонячних панелей photonica, photonica комплектуючі сонячних панелей, комплектуючі сонячних панелей, аксесуари сонячних систем, елементи сонячної системи, кабелі для сонячних панелей, роз'єми для сонячних панелей, обладнання для сонячних систем, запчастини сонячних панелей, компоненти pv;Болты шестигранные М10х300 А2 (DW-10-300);Болти шестигранні М10х300 А2 (DW-10-300);r;3,65;USD;шт.;;;;https://images.prom.ua/7218585332_bolty-shestigrannye-photonica.jpg;+;10000;152084460;Комплектующие для солнечных панелей;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;;;;;2983440248;99-00021667;101003;;Photonica;Україна;;;V;https://oniks.org.ua/p2983440248-bolty-shestigrannye-photonica.html;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203236;Кабель для солнечных панелей H1Z2Z2-K 1x 6 красный (NKK) бухта 100 м;Кабель для сонячних панелей H1Z2Z2-K 1x 6 червоний (NKK) бухта 100 м;H1Z2Z2-K, Nippon Kabel H1Z2Z2-K, H1Z2Z2-K Nippon Kabel, кабель солнечный nippon kabel, nippon kabel кабель солнечный, кабель для солнечных панелей, кабель pv, провод для солнечной системы, кабель солнечный, кабель для панелей, провод pv системы, кабель для генерации энергии, кабель для солнечных модулей;H1Z2Z2-K, Nippon Kabel H1Z2Z2-K, H1Z2Z2-K Nippon Kabel, кабель сонячний nippon kabel, nippon kabel кабель сонячний, кабель для сонячних панелей, кабель pv, провід для сонячної системи, кабель сонячний, кабель для панелей, провід pv системи, кабель для генерації енергії, кабель для сонячних модулів;● Вес кабеля (kg/km) 75,<br/>● Наружный диаметр (mm) 6,1,<br/>● Допустимая токовая нагрузка (A) 70,<br/>● Электрическое сопротивление жили пост. тока, при +20°C (Ω/km) 3,39;● Вага кабелю (kg/km) 75,<br/>● Зовнішній діаметр (mm) 6,1,<br/>● Допустиме струмове навантаження (A) 70,<br/>● Електричний опір жили пост. струму при +20°C (Ω/km) 3,39;r;154,53;USD;шт.;;;;https://images.prom.ua/7218585453_kabel-dlya-solnechnyh.jpg;+;3;152084594;Кабель для солнечных панелей;https://prom.ua/Silovoj-kabel;;;;;2983448168;99-10029502;14190408;;Nippon Kabel;Японія;;;V;https://oniks.org.ua/p2983448168-kabel-dlya-solnechnyh.html;;;-;;;;;;;;7.700;35.0;10.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203608;Корпус пластиковый 24 модульный встроенный AP-UEA;Корпус пластиковий 24 модульний вбудований AP-UEA;Корпус AP-, UEA Корпус AP-, Корпус AP- UEA, электрощит uea, uea электрощит, электрощит модульный, распределительный щит, щиток электрический, шкаф электрощита, щит для дома, щит распределительный, корпус электрощита, щиток настенный;Корпус AP-, UEA Корпус AP-, Корпус AP- UEA, електрощит uea, uea електрощит, електрощит модульний, розподільчий щит, щиток електричний, шафа електрощита, щит для дому, щит розподільчий, корпус електрощита, щиток настінний;● Тип монтажа Встроенный,<br/><br/>● Количество модулей 24,<br/><br/>● Габариты (ВхШхГ) 337х295х100,<br/><br/>● Степень защиты – IP IP40,<br/><br/>● Материал корпуса Пластик;● Тип монтажу Вбудований,<br/><br/>● Кількість модулів 24,<br/><br/>● Габарити (ВхШхГ) 337х295х100,<br/><br/>● Ступінь захисту - IP IP40,<br/><br/>● Матеріал корпусу Пластик;r;14,71;USD;шт.;;;;https://images.prom.ua/7218584355_korpus-plastikovyj-24.jpg;+;6;140905382;Безопасность и комфорт;https://prom.ua/Raspredelitelnye-schity;;;;;2983777861;prom_99-00017890;50904;;UEA;Китай;;;Vmin, V;https://oniks.org.ua/p2983777861-korpus-plastikovyj-modulnyj.html;;;-;;;;;;;;1.200;10.0;30.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203749;Удлинитель NA-UEA 6-гнізд 3 м;Подовжувач NA-UEA 6-гнізд 3 м;6-ГНІЗД, UEA 6-ГНІЗД, 6-ГНІЗД UEA, удлинитель uea, uea удлинитель, удлинитель электрический, кабель удлинитель, удлинитель с розетками, удлинитель для дома, удлинитель силовой, удлинитель на катушке, кабель удлинитель длинный, удлинитель для техники;6-ГНІЗД, UEA 6-ГНІЗД, 6-ГНІЗД UEA, подовжувач uea, uea подовжувач, подовжувач електричний, кабель подовжувач, подовжувач з розетками, подовжувач для дому, подовжувач силовий, подовжувач на котушці, кабель подовжувач довгий, подовжувач для техніки;● Удлинитель с заземлением,<br/>● Длина 3 м,<br/>● 6 гнезда с/з.;● Подовжувач із заземленням,<br/>● Довжина 3 м,<br/>● 6 гнізда з/з.;r;4,99;USD;шт.;;;;https://images.prom.ua/7218586060_udlinitel-na-uea-6-gnizd.jpg;+;2;140905382;Безопасность и комфорт;https://prom.ua/Udliniteli-elektricheskie;;;;;2983777989;prom_99-00018334;513;;UEA;Китай;;;Vmin, V;https://oniks.org.ua/p2983777989-udlinitel-uea-gnizd.html;;;-;;;;;;;;0.440;12.0;4.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
